stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,29.73,0,0,0,0,0,0,0,0,0,0,0,55.72,0,0,3.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.54,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.74,0,0,0,0,1.91,0.89,1.98,0,0,0,0
 24-34,0,0,0,0,3.6,0,0,1.52,1.11,0,0,0,0,1.64,0,1.68,35.44,0,0,0,0,0,0,11.64,0,0,0,0
 36-46,0,0,0,0,3.93,0,0,0,0,0,0,0,0,3.65,0,0.64,60.93,0.79,0,0,3.11,0,0,7.37,0,0,0,0
 48-58,0,0,0,0,13.7,0,0,4.78,0,0,0,0,0,3.11,0,1.23,58.99,1.25,0,0,0,0,0,4.28,0,0,0,7.12
 60-70,0,0,0,2.72,5.54,0,0,1.14,0,0.87,0,0,6.05,5.03,0,9.15,27.55,0,0,0,0,0,0,1.36,0,0,0,0
 72-82,0,0,2.33,0,12.75,0,0.9,1.44,0,0,0,0,0,2.63,0,0,19.35,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.66,0,0,1.42,0,0,0.93,1.25,0,2.81,0,0,7.5,0,0,0,2.86,0,0,0,0,8.24,2.16,0
 96-106,0,0,0,0,1.31,0.59,0,0,0,0,0,0,0,0.96,0,0,1.82,0,1.04,0,0,0,0,0,0,0,0,1.92
108-118,0,0,5.33,0,3.29,0.71,0,1.07,0,0,0.53,0,0,2.02,1.28,0,12.6,0,0,0,1.71,0,0,0,2.74,0,0,0
120,0,0,10.32,0,0,0,3.89,47.3,0,0,0,0,0,19.86,5.52,0,129.25,0,0,0,1.12,0,0,26.12,0,0,0,0
