stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,56.61,1093.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.28,0,0,0,0,0,0,0,0,0,0
  5-6,243.5,1779.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.86,8.9,0,0,64.29,0,31.9,0,0,0,0,0,0,0,0,0,0
  7-9,47.47,17.17,0,43.2,0,0,0,81.98,0,0,0,0,0,52.38,0,0,0,0,0,0,0,0,0,0,0,985.94,54.42,0,0,334.43,0,0,4.77,0,0,0,0,0,0,0,0,0
 10-12,0,55.14,0,51.77,0,0,0,154.88,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,756.94,12.57,0,0,208.5,0,3.07,0,0,32.45,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,6.63,3.86,0,3.76,0,0,0,1.78,0,2.78,0,0,0,0,0,0,0,3.21,0,0,6.61,86.11,2.58,1.07,0,0.81,0,1.51,0,10.67,0,0,9.36,17.38,0,0,0,0
 24-34,0,0,0.84,0.59,7.59,1.54,0,33.46,0,0,0.61,1.72,0.67,0,3.44,1.08,2.14,0,1.45,4.8,0,17.2,5.25,0,8.02,158.49,0,2.26,0,0,0,3.41,0,1.1,2.27,4.39,7.33,23.38,0,0,0,1.69
 36-46,0,0,0,0,1.05,0.6,0,27.49,0.64,0,0,7.31,0,0,0,0,0,0,1.61,0,0,13.27,0,0,6.96,74.76,1.72,1.19,0.8,0,0,4.87,0,0,1.22,0,0,5.77,0,0.81,0,3.09
 48-58,0,0,0,0,1.37,0,0,33.27,0.71,0,0.4,3.41,0,0,0,0,0,10.68,0,2.24,0,10.93,0.37,0,2.2,56,0,0,0,0,0,0.5,0,0,0,0.77,0,12.41,0,0.47,0,0.45
 60-70,0,0,0,0,3.03,0,0,27,0,0,2.31,4.32,0,0,0,0.61,6.63,0,1.12,0,1.22,21.35,0.58,0,3.85,57.39,0,1.23,0.83,0,0,3.12,0,0,1.12,0,0,8.79,0,1.17,0,0
 72-82,0,0,0.69,0,1.98,0,0,16.22,1.21,1.27,2.13,8.93,1.26,0,0,6.23,0,0,1.06,0,0,23.74,0,0,7.56,25.34,0.72,1.45,0,0,0,5.29,0,0,0,0,0,13.36,0.52,0,0,4.6
 84-94,0,0,1.04,0,3.16,0,0,33.74,0,0,1.54,4.23,2.17,0,0,0.93,2.3,0.73,0.73,0,0,45.92,0,2,7.68,51.69,1.84,10.29,1.19,0,1.68,21.67,0,0,1.37,0,0,10.38,2.35,2.96,1.84,0
 96-106,0,0,0,0,11.12,0,0,20.62,0,0,0,3.72,1.44,0,1.39,1.46,0.83,1.2,0,0,0,19.69,2.12,0,6.72,24.46,0.77,1.53,1.98,0,0,14.33,0,0,0,0,0,1.23,0,7.13,3.16,0
108-118,0,0,0,0,8.44,0,0.46,7.68,1.1,0.49,1.17,17.07,1.41,0,1.54,4.35,1.87,0,2.24,3.47,0,53.93,0,0,7.78,59.08,1.03,3.3,1.94,0,0,23.79,0,0,0,0,0,1.02,0,6.28,2.43,7.76
120,0,0,0,0,13.4,0,0,26.51,0,0,0,17.3,5.71,0,0,0,0,0,0,0,1.51,34.03,0,0,10.26,39.66,0,0,3.16,0,0,8.18,0,0,1.13,0,0,0,0,1.14,0,0
