stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,5.27,4.84,7.94,0.96,0,1.32,0,0,0,0,0.85,2.24,52.91,0,0,0,0,0,22.57,0,0,12.83,12.68,3.01,5.23,0,0,0,0,0,1.76,2.14,205.81,102.13,3.49,0,0,0,0,0
 24-34,7.77,9.58,11.21,3.48,0,4.86,17.88,0,0,1.88,11.72,0,123.28,0,0,0,2.92,1.23,12.42,0,0,30.4,81.64,1.57,0,0,0,0,0.68,0,0,6.18,102.69,159.21,5.74,0,0,3.77,0,0
 36-46,1.16,0.72,0,0,0,19.51,48.71,0,0,0.96,2.59,0,68.79,0,0,0,0.61,0,9.48,0,8.31,18.22,135.14,0,0,0,0,0,0,0,0,3.69,55.22,3.23,12.93,0,0,0,0,2.83
 48-58,1.58,0,0.4,0,0,41.46,41.44,0,0,18.81,0,0,52.86,0.54,0,0,0,0,19.13,0,0,22.93,181.12,0,0,0,0,1.54,2.18,0,0,0.38,24.43,0,3.28,0,1.29,2.61,0.9,6.64
 60-70,0.89,0,0,0,0,55.99,33.54,0,0,11.26,0.64,0,42.87,0,1.74,0,3.69,0,19.54,0,9.18,23.5,168.26,0,0,3.21,0,10.09,6.97,0,0,0,15.17,0,2.24,0,4.56,2.57,4.73,0
 72-82,7.21,0,2.34,3.66,0,248.74,13.42,0.53,0.61,60.37,3.74,0,5.52,0.53,0,0,11.53,0,22.19,1.59,3.53,6.94,43.6,0,0,0.71,1.13,0,0,0,0,0,4.17,0,5.71,0,7.51,0,28.44,18.43
 84-94,8.24,0,0,0.78,3.4,381.53,34.36,0,0,34.08,11.87,0,16.56,0,0,0,16.34,0,15.84,0,12.39,8.86,94.58,0,0,0,0,1.2,4,4.2,0,0.62,9.68,0,3.02,0,10.08,0,34.47,0
 96-106,11.08,0,13.47,14.55,0.82,632.86,30.05,0,2.05,140.51,2.7,0,27.34,1.93,1.77,0,24.11,0,29.29,0,2.74,11.77,36.63,0,0,0,0,9.33,6.13,0,0,2.22,22.03,0,0,0,2.48,0,71.44,0
108-118,7.73,0,19.33,7.34,15.67,723.06,25.4,0.59,0,82.69,6.59,0,31.16,1.86,0.67,0.52,31.65,0,22.48,0,2.36,18.59,49.54,1.26,0,1.01,0,0,2.34,0,0,0.62,10.93,0,9.01,0.43,5.01,0,39.97,0
120,17.09,0,6.79,0,1.89,534.56,21.29,3.01,0,124.75,0,0,12.69,0,0,0,21.74,0,14.17,0,1.83,21.66,31.85,0,0,1.66,0,5.07,0,0,0,4.69,2.35,0,0,0,0,0,29.85,0
