stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53,10.38,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,14.78,0,0,0.86,0,0,0,0.82,0,4.48,0,10.22,1.87,0,2.71,29.4,0,0,7.92,4.08,0,1.28,3.58,3.53,0,0,0,0,9.35
 24-34,0,0,0,33.66,0,0,1.5,0,1.97,0,0,0,1.81,0,8.12,1.47,0,1.4,11.63,0,0,8.12,0,0,0,2.8,12.47,0,0,0,0,1.72
 36-46,0,0.77,0,21.88,0,0,0.7,0,0.93,0,0,0,0,0.74,3.01,8.16,0,0.61,10.49,0,0,5.64,0,0,0.7,0,0,0,0,0.65,0,0
 48-58,0,0.85,0,42.25,0,0,1.45,0,3.1,0,0,0.64,0,0,0.39,10.58,0,0,10.37,0,0,4.87,0,0,3.19,0,3.46,0,0,0,0,0
 60-70,0,0,0,36.04,0,0,14.56,3.45,10.38,2.49,0,5.24,0,0,10.75,5.62,0,1.26,18.75,0,0,2.06,0,0,0,0,8.63,0,0,0,0,3.16
 72-82,0,0,0,18.78,0.52,0,19.8,0,4.26,1.82,0,1.46,0,0,5.15,13.56,0,0,37.71,0,0,0,0,0.51,0,0,0,0,0.53,2.09,0.53,0
 84-94,0,0,0,39.05,0,0,28.2,0.58,2.65,0.55,0,0.91,0.75,0,0.68,9.25,0.8,0,20.96,0,0,0,0,0,0,0,0,0,0,0,3.8,0
 96-106,0,0,0,9.84,3.75,0.59,48.05,0.62,1.78,7.21,4.14,0,0,0,6.19,0.85,2.21,3.05,13.99,0,0,0,0,0,0,0,0,0,1.57,1.83,2.36,0
108-118,0,0,0.74,29.26,0.52,22.87,25.39,0,2.77,0.99,0.42,0,0,0,3.61,7.51,0.66,1.01,47.59,0,2.98,1.17,0,0,0,0,4.39,1.55,3.26,4.34,4.46,0
120,0,0,0,23.29,0,0,71.71,0,4.09,0,0,0,0,0,6.14,18.44,0,0,78.54,0,0,0,0,1.04,0,0,0,0,0,0,0,0
