stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0.82,41.95,176.12,30.63,0,4.96,0,0.94,0,3.08,8.28,0.85,0,0,0,0,0,72.35,0,0,127.18,219.48,11.8,3.39,2.87,4.16,0,70.46,0,179.42,298.71,40.03,216.18,175.03,0,12.57,0
 24-34,0.65,17.53,46.61,6.62,0,2.11,1.45,6.05,2.71,5.71,12.27,21.3,0,12.59,0,4.83,2.41,146.86,0,0,61.82,132.25,1.24,1.95,1.31,0,0,91.48,0,7.53,191.86,5.99,58.13,66.94,0,132.43,0
 36-46,0.73,0,16.11,0,0,3.87,14.37,4.87,8.46,21.69,2.64,7.28,0,0,0,0.62,6.3,154.45,0,0.83,30.46,67.93,0,0,0,0,4.12,112.02,0,0,79.43,4.03,0,24.66,0,69.95,0
 48-58,0,0,2.09,0,0,4.88,0,1.37,10.22,3.46,6.56,5.5,0,0.49,0,0,3.72,125.48,0,0.49,25.73,58.79,0,0,0,0,0,73.62,0,0,50.48,4.28,0,15.7,0,54.29,1.58
 60-70,0,0,5.3,0,0,20.15,0.99,0,3.46,1.47,0,0.92,0,0.58,0,0,0.72,56.35,1.59,1.54,13.05,41.33,0,0,0,0,0,170.74,0,0,51.74,17.15,0,15.28,0,18.33,0
 72-82,0,0,4.82,0,0,7.2,0,0,9.81,2.68,0.84,0,0,0.56,0,1.56,0,30.53,1.61,4.29,12.66,38.54,0,0,0,0,0,160.82,0,0,31.26,0.73,0,0,0,31.61,0
 84-94,0,0,31.31,0,0,11.2,0,3.89,7.15,1.33,1.03,0,0,1.97,0,0,0,26.89,1.75,1.44,2,34.06,0,0,0,0,0,382.72,0,0,13.21,0,0,3.18,1.21,16.96,0
 96-106,0,0.69,21.92,6.42,0,23.75,5.06,3.3,4.2,5.53,0.63,0,0,5.87,0,5.55,0,13.53,1.52,0.59,8.24,30.28,0,0,0,0,0,616.8,0,0,34.01,1.66,0,3.7,0,32.14,0
108-118,0,0,29.22,0,2.84,21.48,0.43,3.99,1.27,3.59,2.59,0,0.44,8.15,4.16,0,0,7.8,3.99,0.56,1.87,25.47,0,0.64,1.49,0,0,415.71,0,0,30.42,1.59,0,9.57,0,5.32,0
120,0,0,37.16,0,0,20.44,0,6.05,4.26,1.81,12.88,1.85,0,9.54,0,0,0,25.48,8.52,0,8.79,57.83,0,2.88,0,0,0,572.71,2.5,0,32.56,0,0,3.5,0,12.54,0
