stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,491.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0
  5-6,7.35,755.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.2,0,0,0,0,0,38.21,0,0,0,0,0,0,0,0
  7-9,7.46,8.27,0,0,0,0,20.52,0,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,136.68,0,0,0,30.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.07,0,0,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.01,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,5.5,0,3.12,0,0,0,1.09,0,0,0,0,0,0,0,0,0,2.12,0,0,2.35,49.37,0,1.13,0,0,0,0,0,2.07,12.55,0,0,1.22,0,0
 24-34,0,0,0.71,0,2.42,0,8.41,0,4.4,0,2.94,0,0,3.45,0,0,0,0,0,0,11.73,0,0,3.4,108.79,0,1.71,0.68,0,0,0,0,0,51.69,0,0,25.28,0,0
 36-46,0,0,0,0,0.6,0,11.72,0.68,2.76,0,4.77,0,0,0,0,0,1.72,1.61,0,0,18.94,0,9.14,11.21,183.09,0,2.32,0,0,0,0,0,0,60.54,0,0,17.71,0,0
 48-58,0,0,0,0,1.13,0,37.33,0,0,0.47,8.55,0,0,0,0,0,0,0,0,1.74,45.77,0,0.51,5.24,270.04,0,1.03,7.48,0,0.56,0,0,0,56.22,0,0,8.07,0,0.52
 60-70,0,0,0.57,0,2.71,0,156.68,0,8.13,2.12,17.57,0,0,0,0,0,0,2.67,0,0,107.06,0,0,6.25,412.15,0,2.12,1.5,0,0,0.96,0,0,40.23,0,0,5.47,0,3.58
 72-82,0,0,0.76,0,1.57,0,151.73,0,1.94,8.61,30.04,0.52,0,0,0,0,0,2.85,0,0,122.9,0,12.85,11.23,416.36,0,2.35,2.49,0,0,0,0,0,27.34,1.34,3.52,18.54,5.08,0
 84-94,0,0,0,0,4.56,0.93,99.35,2.63,0.56,1.14,14.49,1.21,0,0,1.33,1.11,1.74,0.69,0,2.56,101.02,0,9.96,5.66,318.04,0.67,0,6.92,0,0,0,0,0,21.5,0.66,0.98,16.08,1.89,0
 96-106,0,0,0,0,6.8,1.57,81.96,2.37,0.69,1.14,19.44,2.17,0,0,0,0,1.8,2.84,7.13,0,69.72,0,4.17,7.65,241.89,0,0,3.96,0,0,0,0,0,3.97,0,4.35,14.68,4.36,0
108-118,0,0,1.52,0,5.22,0,80.23,4.3,1.67,2.24,31.15,0,0,0,0,0.74,3.56,2.61,0,0,94.35,0,5.33,6.81,284.78,0.67,0,4.47,0,0,0,0.78,0,13.02,0,1.84,21.15,0.89,1.43
120,0,0,0,0,16.12,0,39.37,1.61,0,3.58,32.15,0,0,0,2.13,0,0,0,3.92,0,59.17,12.84,4.36,2.05,366.81,0,0,5.47,0,0,0,0,0,16.33,0,0,15.15,1.05,0
