stage,axial,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6.57,0,0.96,0,0,4.38,0,0,0,0.91,0,0,0,1.11,0,1.14,28.34,1.74,0,0,0,1.52,1.47,4.01,0.88,16.48,0,0,0,0
 24-34,0,0,0,1.37,0.71,0,3.35,0,0,0,1.13,0,0,0,2.65,0,1.96,35.31,0,0,0.79,0,1.6,0.71,0.65,0,12.92,0,0,0,0
 36-46,0,0,0,20.83,0,0,5.04,0,0,0,0,0,0,0,0.73,0.55,0.61,40.02,0.56,0.81,0,0,3.61,0,0,0,14.61,0,0.61,0,0
 48-58,2.3,2.94,0,20.03,0,0,5.62,0,0.55,0,0,0.48,1.44,0,7.3,0,1.82,92.35,0.66,1.62,0.54,0,0.94,0,0,0,10.9,0,0,0,0.47
 60-70,0,0,0,27.74,0,0,11.44,0,0,0,0,0,0,0,9.06,1.28,0,30.79,0,0.73,0,0,0,0,0,0,3.89,0.84,0,0,0
 72-82,0,0,5.96,24.75,0,3.85,12.88,0,0,0,0,0,0,0,8.7,0,0.73,46.47,0,0,1.55,0,0.59,0,0,0,3.59,0,1.74,0.86,0
 84-94,0,0,0,19.25,0,0.78,8.09,0.58,0,0,0,0,0,0,14.13,0,2.27,20.84,0,0,0,7.18,0,0,0,0,5.07,0,3.29,0,0
 96-106,0,1.65,0,16.8,0.69,1.14,25.89,0,0.66,0,0,0.63,0,0,13.07,0,0,24.2,0,0,1.4,0,0,0,0,0,0,0,0,0,1.21
108-118,0,1.75,0,17.02,1.3,0,9.75,1.45,0,0.54,0,2.08,0,0.66,7.48,2.75,0.44,40.08,0,3.19,0,0,1.51,0,0,0,0.42,0,4.85,0,0.92
120,1.12,3.37,0,18.69,0,0,31.08,0,0,2.16,0,0,0,0,23.04,0,0,51.38,1.17,0,12.04,0,0,0,0,0,9.58,0,0,0,0
