stage,endocrine.pancreas,epidermis,erythrocytes,glial,gut,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,pronephros,somites
 14-21,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0.87
 24-34,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,10.42,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.16,1.2,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0
 72-82,0.69,0,2.02,1.6,1.3,0,0,4.3,0,0,2,0,0,0
 84-94,0,0,0,0,5.71,0,0.65,3.26,0,0,0,0,0,0
 96-106,0,0,0,0,15.62,0,0,6.06,2.38,1.72,3.67,0,0,0
108-118,1.03,0.49,1.69,0,24.58,0,0,29.57,0.78,0,8.87,0,0,0
120,0,0,0,0,34.09,16.34,0,41.83,0,0,18.63,0,1.97,0
