stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,0,70.76,0,0,0,0,0,0,0,0,0,30.78,0,0
  5-6,0,52.62,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.47,0,0,0,0,0,0,0,0,24.94,0,0,0,0
 10-12,0,0,0,0,10.16,0,0,0,0,33.98,27.2,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.07,0,4.14,0,0,0.62,1.83
 36-46,0,0,0,0,0,0,0,0,0,3.8,0,0,0,7.44
 48-58,0,0,0,4.47,5.51,0,0,0.4,0,3.54,0,0,0,1.83
 60-70,0,0,0,0,12.32,0,0,2.26,0,10.5,0,0,0,0.93
 72-82,0,0,0,0,0,0.6,0,0,0,2.3,0,0,0,0
 84-94,0,0,0,0,0,0,0.65,0,0,2.63,0,0,0,2.68
 96-106,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,5.99,0.53,7.96,0,0,0,0
120,0,0,3.08,0,7.64,18.28,0,10.13,0,9.57,0,0,0,0
