stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1.38,2.75,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0.89,15.81,0.83,0,0,0,7.81,0,0.82,0.89,0,0,0
 24-34,0,3.19,0.83,2.65,0,0,0,1.43,0,0,0,0,0.92,0,0,0,0.98,0,0,2.14,62.17,0,1.26,0,0,39.89,1.64,0,8.22,0,3.35,2.64
 36-46,0,4.29,0,12.63,1.9,0.58,0,1.85,0,1.28,0,5.76,0,0,1.74,0,6.12,0,0.56,0,113.38,0,4.24,1.4,0,46.34,0,0,7.67,0,1.64,0
 48-58,0,6.27,0,22.46,0.38,12.9,0.44,2.25,0,0,0,0,0,0,0,0,8.22,0,0.71,0.73,113.27,0,0,0,0,32.8,0,0,8.38,0,0,11.52
 60-70,0,7.44,0,72.86,0,0.86,0.96,25.7,0,0,0.65,1.74,0,0,0,0,10.67,0,0,0,131.75,0,0.99,4.94,0,90.62,0,0,11.02,0,0.87,0
 72-82,0,1.65,8.35,28.18,0,1.95,0.88,11.37,0,1.72,0,0,0,0,0,0,12.72,0,0,7.84,99.34,0,0,0,0,15.9,0,0,1.38,1.01,3.84,0
 84-94,0,6.96,8.49,32.48,0,0.68,5.25,7.15,0,0,1.09,1.54,0,0,0,0,15.52,0,0,3.25,53.53,0,0,1.27,0,53.1,0,0,7.38,0,7.6,0
 96-106,1.41,1.74,0,30.94,0,0.57,1.06,0,2.45,0,2.61,0,0.73,0.57,13.75,0,17.43,0,2.07,0,78.11,0,0,0,0.97,65.4,0,0,0.95,0,10.28,0
108-118,0,2.69,0,41.52,0,0.56,1.44,4.83,6.45,0,0.66,0,1.03,0,0.83,0,17.23,0.5,0,0.61,52.33,0,0,0,0,63.31,0,0,0.64,0,1.89,7.99
120,0,22.74,0,28.09,1.54,0,0,23.24,11.52,0,0,0,0,0,0,11.42,39.9,0,8.42,1.67,114.4,0,3.8,0,0,39.23,0,0,0,0,18.39,0
