stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,494.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.97,0,0,0,0,0,0
  5-6,29.89,550.51,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0
  7-9,7.8,0,0,10.75,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,218.23,3.62,0,0,31.22,0,4.81,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,0,0,0,5.92,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,1.55,0,0,0,0,0,0,0.93,0,0
 24-34,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,20.92,0,0.99,0,0,0,0,2.42,0,0,0,0
 36-46,0,0,0,0,0.65,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,66.51,0,16.97,0,0,0,0,0,0,5.14,0.68,0
 48-58,0,0,0,0,25.59,0,5.26,0,0,0,1.27,0,0,0,0,0,0,0,1.46,4.57,117.97,0,36.51,1.77,0,1.3,0,0,0,3.55,0.47,0
 60-70,0,0,0,0,4.77,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,191.49,0,1.87,0,0,1.37,0,0,0,1.1,0,0
 72-82,0,0,0.57,0,2.5,3.38,39.27,1.1,0,0.77,9.94,1.61,0,0.49,0,0,1.95,2.93,13.9,0,157.21,0,498.73,0,0,2.47,0,0,4.35,8.73,0,1.55
 84-94,0,0,0,0,3.88,0,32.04,0,0,0,1.72,0,0,0,0,0,0,0,5.48,0.61,104.21,0,325.45,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,27.08,0,0,0,4.76,0,0,0,0,0,0,0,0.95,2.87,86.36,0,495.94,0,0,3.24,0,0,0,5.69,0,0
108-118,0,0,1.77,0,0,0,13.49,0,0,0,0,0,0,0,0.89,0,4.37,0,0.81,0,160.24,0,99.24,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,24.14,0,2.25,0,0,0,0,0,0,2.53,0,0,5.41,0,207.84,0,110,0,0,1.98,0,0,0,4.72,0,0
