stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.51,0,0.85,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,11.82,0,0,0,29.39,0,0,0,0,0,0,5.54,2.47,32.63,0,0,1.83,0,0
 24-34,0,0,3.61,0.89,1.49,0.75,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,1.9,277.74,10.1,0.75,0.98,0,0,0,0,2.37,176.63,0,0,8.6,0,0
 36-46,1.47,0,0,0,3.16,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,1.24,640.77,0,9.99,2.9,0,12.71,0,0,0,222.93,0,0,4.09,0,4.34
 48-58,0,0,7.81,0,56.77,0,0,0,14.27,0,0,2.18,0,0,0.87,0,0,0.48,14.47,0,0.94,0,1766.73,6.36,0.56,1.77,0,2.04,0,0,0,187.35,0,1.59,4.78,0,3.46
 60-70,0,0,1.78,0,133.42,0,12.67,0,30.04,1.41,0,3.64,0,0.62,0.7,0,0,6.76,20.84,0,7.45,0,2716.02,0,0.64,3.21,0,10.67,0,0,0,244.34,0,0.59,9.55,0,0
 72-82,0,1.49,13.47,2.55,185.31,0,0,2.04,33.64,0,0.59,6.37,2.57,0,5.83,1.05,0,0,41.11,0,2.83,1.31,3126.6,0,2.9,4.83,0.89,5.66,0,0,0,168.92,0,2.11,5.39,0,0
 84-94,0,0,19,8.36,184.74,0,0,1.18,22.1,3.74,0,1.27,2.47,0,0.9,0,0,0,20.46,0,2.78,1.81,2176.21,0,6.75,0,0,0.56,0,0,0,129.45,0,2.72,0.69,0,0
 96-106,0,0,7.22,10.68,161.78,3.59,0,1.85,24.18,4.14,0,1.68,0,0,1.9,3.99,0,0,19.82,0.77,0,0,2370.77,0,8.23,12.5,3.28,9.48,0,0,0,109.77,0,4.03,5.59,5.39,1.41
108-118,0.98,0.61,7.3,2.19,153.38,0,0,0,14.05,1.03,0,1.21,0,0,2.94,1.26,1.57,0,20.53,0,0,4.54,2029.7,0,16.37,7.97,0,1.06,0,0,0,50.17,2.66,0.64,10.05,0,2.86
120,2.94,0,2.81,23.38,218.05,0,3.44,0,82.51,9,0,4.46,0,0,2.6,0,0,0,51.86,0,2.35,0,3573.64,2.48,3.07,16.99,0,0,1.13,0,0,147.2,0,18.9,0,0,0
