stage,axial,blastomeres,eye,hatching.gland,neural,paraxial.mesoderm,periderm
  3-4,54.56,1312.16,0,0,0,0,21.82
  5-6,58.83,550.81,0,0,6.22,0,16.05
  7-9,5.44,0,0,6.42,42.05,9.76,0
 10-12,0,0,0,0,0,4.17,0
 36-46,0,0,0.73,0,0,0,0
 60-70,0,0,3.66,0,0,0,0
 84-94,0,0,0,0,6.07,0,1.74
 96-106,0,0,0,0,2.56,0,0
