stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.58,262.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,166.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.44,0,0,0,38.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,7.75,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.14,15.92,0,0,30.68,0,6.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.24,1.01,18.84,0,6.48,0,0,0,1.28,0,0.86,0,0,0,0,0,0,0,6.2,0,0,0.85,83.17,216.59,0,1.1,0,2.79,0.91,10.41,11.09,2.25,30.47,0,0,0,0,0
 24-34,0,0,5.38,0,5.71,0,14.92,0,0,0.61,0,0,0,0,0,0,0,0.6,0.68,0,12.6,0,0,4.14,247.94,8.65,0.76,1.83,0,12.11,0.86,0,0,0,102.01,0,0,0.79,0,0
 36-46,0,0,2.2,0,0.69,0,9.11,0,0,0,2.09,0,0,0,0,0,0,0,0,0,7.16,0,0,4.53,635.01,4.49,2.85,0,0,4.89,0.68,0,0,0,138.45,0,0,0,0,6.2
 48-58,1.15,0,0,0,0.39,0,46.69,0,0,1.43,10.29,0,0,0,0,0,0,0,0,1.7,22.46,0,1.77,6.63,958.54,0,2.06,0,0,0.63,0,0,0,0,153.77,0,0,0.58,0,0
 60-70,0,0,0.57,0,0,0,248.94,0.58,0,0,32.82,0,0,0,0.76,0.86,0,0,1.72,0,14.56,0,0,2.58,1148.16,0,0,0,0,1.92,0,0,0,0,159.13,0,1.4,0,0.85,7.76
 72-82,0,0,0.53,0.75,15.58,0,399.43,0,0.55,0,42.85,0,0,0,0,0,0,0.68,0,3.31,38.37,0,0.49,1.3,1834.04,0,1.14,0.66,0,0,0,0,0,0,175.71,3.98,12.7,3.4,0.59,13.83
 84-94,0,0,0,0,9.31,8.18,336.68,0,0.57,2.45,31.72,0.58,0,1.46,0,0,4.83,0.89,2.93,0,32.68,0,2.38,2.58,1511.34,0,0.56,1.52,0,10.5,1.4,0,0,0,120.36,0,9.03,3.95,0.91,0
 96-106,0,0,0,0,9.14,0.99,248.06,0,0,0,37.25,1.31,0,0,1.74,0,10.92,0,0,0.69,27.44,3.08,0,1.03,1249.63,0.66,6.46,2.28,0,8.61,0,0,0,0,82.74,2.39,3.66,1.57,0,11.07
108-118,0,0,0.57,0,19.9,0.79,351.4,0,0,0,50.44,0.58,0,0,1.58,0,1.33,1.71,0,0.78,27.77,0,0,0,2013.12,0,1.21,0.59,0,6.27,0,0,0,0,71.08,3.88,0.99,1.7,10.94,13.22
120,0,0,0,0,8.57,0,278,0,0,0,33.97,0,0,0,0,0,0,0,0,0,49.34,0,4.76,1.12,2121,0,3.62,9.31,0,14.65,0,0,0,0,101.19,0,2.12,0,4.27,0
