stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,10.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0
  7-9,5.33,0,9.16,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,32.71,0,0,4.96,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.96,0,0,0,0,0,0,0,0,0,0,0,29.86,19.89,0,5.19,0,0,0,0,0,0,0
 14-21,0,0,0,1.16,0.91,0.91,0,1.19,0.85,0,0,0,0,0,2.35,0,1.11,5.96,0,0,0,0,0.97,0,3.68,0,0,0
 24-34,0,0,0,0,1.43,1.35,0.69,1.35,0,0,0,0,0,0,9.24,0,3.7,10.42,0,0,0,0,0,0,2.14,2.69,0,4.24
 36-46,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,3.17,0,0,1.65,0,0,0,0,0,1.48,0,0.75,0,0
 48-58,0,0,0,0,0,0,0.58,0.97,0,0,0,0,0,0,4.23,0,0.42,5.1,0,0,0,0,0,0,0,0.76,0,1.8
 60-70,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,13.33,0,0,4.7,0,1.71,0,0,0,0,0,1.5,0,0.92
 72-82,0,0,0,0,0,1.04,0.71,0,0,0,1.53,0,0,6.16,14.37,0,3.63,0,0,0,0,0,0,0,0,1.04,0,7.29
 84-94,0,0,0,0,0.57,2.19,0.58,0,0,0,0,0,0,0,8.38,3.22,0.82,0,0,1.27,0,0,0,0,0,0,0,5.19
 96-106,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,8.34,0,1.31,0,0,0,0,0,0,0,0,1.32,1.18,9.29
108-118,0,0,0,0,0,0,0,4.82,0,0,1.69,0.44,0.47,0.64,12.69,0,0,5.11,0,0,0,0,0,0,0,0,0,8.99
120,0,0,0,1.75,0,0,0,0,0,0,0,0,0,8.52,7.61,0,0,7.65,0,0,0,0,0,0,0,0,0,3.23
