stage,blastomeres,epidermis,gut,ionocyte,lateral_line,mucous,neural,otic,periderm,spinal_cord,vasculature
  5-6,45.76,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.86,0,0,0,0,2.65,0,0
 24-34,0,0.62,0,1.18,0,1.03,2.56,1.78,0,0,0
 36-46,0,0,0,0,0,0,1.14,1.14,0,0,1.02
 48-58,0,0,0,0,0,0,0,4.08,1.19,0.44,0
 60-70,0,0,0,0,0,0,8.11,0,0,0,0
 72-82,0,0.51,0,0,0,0,8.35,0,0,0,0
 84-94,0,0,0,0,0,0,4.1,0,6.44,0,0
 96-106,0,0.71,0,0,0,0,1.7,0,2.24,0,0
108-118,0,0,0.88,0.85,1.1,0,12.84,2.11,3.22,0,0
120,0,2.79,0,0,0,0,0,0,0,0,0
