stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,146.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,447.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.84,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0
  7-9,8.5,0,0,12.7,0,0,19.81,0,0,0,0,0,38.47,0,0,0,0,0,0,0,0,0,0,0,263.28,0,0,0,83.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.1,23.71,0,0,41.48,0,0,4.37,0,6.14,0,0,0,0,0,0,0
 14-21,0,0,0,2.21,42.65,5.95,10.72,0,0,0,12.25,2.51,1.29,0,0,2.81,0,0,3.71,0,7.55,0,0,15.91,342.25,4.13,4.89,0.94,10.35,0,5.02,0,21.49,6.65,7.97,211.5,0,0,7.63,0,0
 24-34,0.88,0,0.84,0,13.39,0,17.49,0,0.62,1.5,8.6,0,0,0,3.39,3.09,0,0.65,0,0,24.19,0,0,13.58,241.56,0.95,4.8,5.12,0,0,9.87,0,0,312.18,0,158.58,0,0,21.34,0,0
 36-46,0,0,0,0,1.92,0.9,48.96,0,0,0,27.84,0,0,0,3.75,0,1.91,0,7.64,0,21.01,0,1.13,7.33,184.65,0,1.29,0,0,0,3.73,0,0,279.74,0,115.08,0,0,7.54,0,8.3
 48-58,0,0,0.46,0,2.57,0,58.06,0,4.38,0.97,23.31,0.56,0,0.78,1.89,0,0,0.45,0,0,31.27,0,1.05,6.22,115.28,0.56,0,0.39,0,0,7.26,0,0,226.17,0,50.59,0,0,12.7,0,2.6
 60-70,0,0,0,0,8.64,0,42.95,0.6,0,0,25.35,2.83,0,0,0,5.54,1.16,2.61,0,0,40.74,0,0.98,0.76,71.54,0,0,0,0,0,7.57,0,0,187.17,0,8.88,0,1,4.71,0,4.25
 72-82,0,0,0.86,0,3.19,0,40.71,0,0,0,23.54,27.15,0,0,16.33,0,0,0,0,0,42.82,0,1.94,0.68,66.84,0,0,2.22,0,1.43,3.18,0,0,364.39,0,13.69,0,0,3.89,0,0.67
 84-94,0,0,0.81,0,8.05,0,36.14,0,0,0,19.41,87.55,0,0,7.64,0,0,0,0,5.22,46.17,0,4.61,3.5,54.88,0.67,0,1.36,0,0,9.58,0,0,854.24,0,12.27,5.07,2.16,7.19,3.7,3.75
 96-106,0,0,0,0,14.81,10.74,35.61,0.92,0,0,37.21,165.96,0,2.2,8.64,0.81,0,0,4.97,0,53.99,0,5.68,7.68,92.21,0,0,3.55,0,0,4,0,0,790.11,0,12.1,0,7.09,2.49,0,0
108-118,0,0,0,0,2.88,5.65,32.98,0.73,1.89,2.51,30.27,260.28,0,1.02,5.69,1.07,4.82,0,1.12,0,58.24,0,1.83,2.17,90.57,0.43,0,0,0,0,3.22,0,0,733.35,0,3.42,2.99,0.86,5.62,0.55,1.97
120,0,0,4.34,0,0,0,41.76,0,1.31,5.39,5.88,358.37,0,0,8.12,0,8.35,0,34.74,0,14.34,1.05,0,10.86,103.2,0,1.11,0,0,0,9.12,0,0,478.25,0,10.72,0,1.52,1.23,0,0
