stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06,0,0,0,8.99,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.9,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,1.91,0,0,0,4.97,0.83,0,0,0,0,0,0.9,0,0.99,4.94,0,0,0,0
 24-34,0,0,1.41,2.72,0,0,1.39,0,0,0,0,0,0,0,0,7.12,0,137.28,2.8,0,0,0,1.29,29.71,4.61,0,0,0,0,0,0,0.65,0,7.59,0,3.24,0,7.55
 36-46,0,0,0,0.79,0,0,24.92,0,0.58,0,4.29,0,1.09,0,0,5.66,0,84.5,40.5,8.02,0,0,1.9,47.88,0,0,0,0,0,0,0,0,0,4.66,0,0,0,27.88
 48-58,0,0,0,0.41,14.24,0,23.11,0,3.69,0,0.65,0,0,0,0,8.98,0,166.09,68.02,8.86,0,0.4,0,79.99,0,0,0,0,0,0,0,0,0,8.8,0,3.04,0,79.34
 60-70,0,0,0,0,1.08,0,20.6,0,0,0,3.96,0,0,0,0,43.06,0,331.26,80.92,6.7,0.84,2.04,0.61,81.95,0,1.15,0,0,0.71,0.81,0,0,0,17.89,0.57,0,0,67.16
 72-82,0,0,0,2.63,0,0,6.88,1.7,0,0,11.38,0,0,0,0,97.93,0,214.44,57.96,8.81,0,0,0,73.82,0,1.44,0.65,0,1.77,1.61,0,0,0,5.41,0,0,0,49.65
 84-94,0,0,0,5.72,0.64,0,25.78,0,2.91,0,7.3,1.01,0,0,0,34.15,0,138.71,35.95,6.18,0,0,11.56,27.58,0,0,1.96,0,0,0,0,0,0,14.91,0,0,0,18.57
 96-106,0,0.81,0,4.9,9,0,60.43,0,0,0,7.76,7.12,0,5.28,0,119.78,0.58,474.26,13.23,169.51,4.87,3.93,0,165.24,3.64,7.72,1.07,0,0,13.07,0,0,0,5.45,0,3.69,1.08,59.55
108-118,0,0,0,1.6,0,0.56,19.41,0,0.46,0.64,5.15,0.48,0,0.82,1.11,89.34,0,380.58,24.41,28.12,2.81,0.83,0.76,75.2,0,2.16,2.37,0,0,1.45,0,0,0,0,0,0,0,34.46
120,0,0,0,1.08,0,0,2.87,0,0,0,15,0,0,0,0,110.57,0,95.32,10.16,2.43,0,15.72,0,148.35,0,0,1.61,0,0,0,0,0,0,24.61,0,0,0,10.92
