stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,15.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.96,0,0,0,0,0,0,0,0
 24-34,0.76,0,0,0,0,0,0,0,0,0,1.56,0,8.45,0,0,0,0,0,0,1.17,138.5
 36-46,0,0,1.54,0,3.26,0,1.66,0,8.56,0,0.74,0.91,24.91,0.56,0,0,0,5.18,0,0.61,750.27
 48-58,0.61,0,3.61,0,2.26,0,0.45,0,0,1.78,3.31,0,31.6,0.86,0,0,0.54,3.79,0,1.48,1125.22
 60-70,0,3.32,1.06,0,0.87,0,0,0,0,0,0,0.6,14.73,0,0,0,1.94,3.24,0,0,526.57
 72-82,1.37,0,2.51,13.56,2.17,2.61,0,0,0,3.2,3.72,0,9.82,2.05,0.52,0,0,0,0,0,306.66
 84-94,0,0,3.51,0,2.51,0,0,0,0,0,2.01,0,6.98,0,0,0,0,0,0,0,249.98
 96-106,0,0,1.36,0,2.02,0.69,0,0,0,0,1.8,0,8.67,0,0.73,0,0,0,0,8.05,153.8
108-118,3.32,1.3,0,0,1.64,1.23,0,0.49,5.95,1.1,0.49,0,2.49,0.49,0.53,3.19,0.57,0,0.68,1.02,205.39
120,0,0,0,0,6.25,0,0,0,0,0,0,0,44.85,0,0,0,0,0,0,0,106.59
