stage,axial,epidermis,eye,fast.muscle,glial,liver,mesenchyme,muscle,neural,olfactory,slow.muscle,spinal.cord
  7-9,3.69,0,0,0,0,0,0,0,19.51,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.43,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.12,0,0,2.92
 36-46,0,0,0,0,0,0,0,0,4.96,0,0,0.71
 48-58,0,0,0,1.39,0,0,0.59,0,6.21,1.14,0,1.11
 60-70,0,0,0,0,1.79,0,0,0,12.23,0,0,2.62
 72-82,0,0,4.8,0,0,5.4,0,0,15.39,0,0,3.83
 84-94,0,0.79,1.47,0,0,0,0,0.94,10.36,0,0,0
 96-106,0,0,0,0,0,0,0,0,3.64,0,0,0
108-118,0,0,5.94,0,0,0,0,0,9.04,0,1.67,1.9
120,0,0,0,5.49,0,0,0,0,35.46,0,0,0
