stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0
 14-21,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0.98,140.99,0,0
 24-34,0,0.87,0.63,9.11,1.13,0,0,0,9.64,0,0,0,11.73,0,0,0,1.13,28.33,0,0,0,3.23,0,3.27,0,1506.72,0,0
 36-46,0,0,0,0,2.22,0,0,0,0,0,0,0,3.88,0,0,0,0,35.15,0.7,0,0,0.64,0,0,5.3,993.53,0,0
 48-58,0,0,0,7.12,2.24,0,0,0,4.45,0,0,0,1.29,0,1.74,0,1.1,14.76,0,0,0,3.53,0,0,3.68,909.14,0,0
 60-70,0,0,0,0,2.23,0.92,0,0,2.41,0,0,0,0,0,0.95,0,0,30.6,0,0,0,0,0,0,0,523.13,0,0
 72-82,0,0,0,0.75,0.97,0,0,0,0,0,0,0,0,0,4.52,0,0,8.43,0,1.2,0,0,0,0,5.28,886.54,0,0
 84-94,0,0,0.7,0,11.55,2.86,0,0,0,0,0,0,0,0.96,0,0.72,2.86,15.92,0,0,0,1.27,0,0,0,1117.61,0,0
 96-106,0,0,0,14.83,4.33,0,2.48,0,0,10.99,0.85,0,0,0,15.65,0,0.86,54.37,0,0,0,0,1.41,0,3.37,1635.2,0.65,8.78
108-118,0,0,0,37.28,23.03,1.56,0,0,0,3.39,0,0.43,0,0,21.96,0,0,10.62,0,0,0,0,2.4,0,0,1513.4,2.1,0
120,0,0,6.38,0,13.67,0,0,46.83,0,0,0,0,0,0,31.59,0,0,6.35,0,0,0,0,0,0,0,1083.93,4.47,0
