stage,epidermis,eye,glial,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0.81,0,0,0,0,0,0,1.88,0,0,0,2.04,0,0
 24-34,2.23,0.67,0,0,1.39,0,0,32.79,0,0,0,7.33,0,0
 36-46,12.86,7.84,0,0,1.37,0,0,27.5,1.86,0,0,11.12,0,0
 48-58,2.77,4.75,8.02,0,10.93,0,0,32.6,0,0,0,1.2,0,0
 60-70,0,14.75,0,6.42,2.53,11.04,0,55.6,0,0.61,0,5.74,0,0
 72-82,3.08,9.25,1.73,0,7.84,0,0,42.88,0,0,0,4.98,0,0
 84-94,0,1.12,0.86,0,7.12,0,0,13.38,0,0,1.03,0.83,0,0
 96-106,0,2.28,0,1.5,0,0,0,13.14,0,0,0,0,2.7,0
108-118,0,7.93,1.41,0,0.98,0,0,21.72,0,0.76,0,0,0,1.99
120,0,0,0,0,15.82,0,2.23,109.26,0,0,0,0,0,0
