stage,liver,mesenchyme,neural
 60-70,2.12,0,0
 72-82,1.24,1.97,0
 84-94,2.58,0,2.12
 96-106,1.34,0,9.09
108-118,2.29,1.22,0
120,2.99,0,5.06
