stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,0,51.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.8,9.71,0,0,0,0,5.11,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,78.76,0,0,0,3.86,0,0,0,0,0,0,0
 10-12,0,17.42,34.04,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,246.83,35.78,0,0,80.78,5.07,0,8.15,0,0,0,0
 14-21,0,0,0,0.81,0,0,0.86,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,10.96,1.73,0,0,0,3.61,0.96,1.96,0,0,1.14,0
 24-34,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47,0,0.67,0,0,6.61,0,0,2.41,0,1.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,0,0,0,7.43,0,0,0,0,3.59,0,0,0.95,0,0,0
 48-58,0,0,0,8.09,0,0,7.19,0,0,4.54,0,0,0,0,0,0,0,1.99,0,0,0,7.05,0,0,0,0,5.99,0,0,3.02,0,0,0
 60-70,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,1.09,0,8.79,0,0,0,4.08,0,0,0,0,6.67,0,0,0,0,0,0
 72-82,0,0,0,30.58,0,0,1.14,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,7.83,0,0,0,0,9.24,0,0,3.57,0.52,0,0
 84-94,0,0,0,22.96,0,0,7.51,0,1.83,0,0,0,0,0,0.67,0,0,2.93,0,0,0,8.45,0,0,0.91,0,30.77,0,0,0,0.63,0,0
 96-106,0,0,0,214,4.76,0,2.69,0.69,0,0,2.58,0,0,1.57,1.36,0,0.63,5.66,0,0,1.26,5.8,0,0,0,0,37.9,0,0,0,6.23,0,1.67
108-118,0,0,0,214.79,0,1.08,6.06,1.31,0,2.35,9.04,0,0,0,4.43,0,0,2.67,0.6,0.62,0,6.32,0,0.87,0,0,25.11,0,0,1.17,12.12,0,0
120,0,0,0,415.44,0,0,0,0,0,0,0,0,2.95,0,2.71,0,4.03,0,0,0,0,3.95,0,0,0,0,22.57,0,0,0,3.89,0,0
