stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0
 24-34,0,0.83,0,0,0,0,0,0,0,0.94,0,0,1.22,3.22,0,0,0,0,2.92,0,0,0,0
 36-46,0,0,0,0,8.09,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0.66,0,0,0
 48-58,0,0,0,0,0.39,0.78,0,0,0,0,0,0,0,12.54,0,0,0,0,0,5.2,0,0,0
 60-70,0,0,0,0,9.35,21.42,0,0,0,0,0,0,5.65,22.95,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.1,8.9,254.64,0,0,0,0,0,7.43,47.2,21.07,0.86,0,0,0,0,2.84,0.61,0,0
 84-94,0,0,0,0,13.58,369.59,0.6,0,0,0,0,0,29.05,38.14,0,0,1.85,0.55,0,1.3,0,0,0
 96-106,0,0,0,0,29,842.47,0,4.43,2.06,9.4,0,3.99,196.29,70.64,4.91,10.66,3.23,0,0,16.21,0,5.83,0.56
108-118,0,0,0,1.01,4.33,581.78,0,0,0,1.41,0.84,11.85,25.77,13.88,3.81,0,3.72,0,0,1.18,0,0,2.23
120,0,0,4.33,0,2.07,218.85,0,0,0,0,0,2.46,2.15,36.18,0,0,0,0,0,0,0,10.6,0
