stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,88.68,0,0,0,0,0,0,0,0,0,0
  5-6,12.86,305.15,0,0,0,0,0,0,14.19,0,11.31,0
  7-9,0,6.22,4.21,0,3.7,14.71,0,0,159.08,25.41,0,0
 10-12,0,0,0,0,3.52,0,0,0,5.43,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.14
 24-34,0,0,0,2.24,0,0,3.81,0,0,0,0,0
 36-46,0,0,0,0,4.45,0,0,0.72,1.61,0,0,0
 48-58,0,0,0,0,0.64,0,0,0,5.16,0,0,0
 60-70,0,0,0,0,1.12,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.31,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.14
120,0,0,0,0,3.71,0,0,0,0,0,0,0
