stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0.82,0,0,0,0,0,0,0.93,0,0,0,1.22,0,1.39,0,0,0,0,0,0,2.14,0,0,0,0,0
 24-34,0,1.6,0,0,0.86,0,0.83,0,1.06,1.31,0,0,14.87,2.73,3.02,2.69,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.32,5.4,0,20.71,7.28,4.7,10.07,0,0,0,0,0.65,0,0,0,0,4.04,0
 48-58,0,0,4.23,0,0,0,2.27,0,0.54,5.96,1.62,0,19.35,11.53,2.48,10.73,0,0,0,0,0,0,0,0,2.04,0,0
 60-70,0,3.21,0,10.8,0,0,7.49,0,0,15.28,0.58,0,49.62,32.41,9.73,14.46,0,0,10.44,0,0,0,0,0,8.19,0,13.53
 72-82,0,0,1.71,10.3,0,2.2,4.95,2.47,1.12,14.59,0.68,0,57.12,25.34,14.51,25.17,0,0.54,3.18,0,0,0,1.43,0,12.06,0,30.24
 84-94,0,4.14,0,2.19,0,0,2.79,1.75,1,27.45,1.4,0,61.35,90.37,11.98,10.84,0,0,9.96,0,0,0,1.73,0.79,28.15,0,47.51
 96-106,0.81,2.22,1.64,12.14,0,0,12.45,0,4.97,66.19,2.55,1.11,169.84,64.36,33.13,30.99,0.64,0,57.65,0.56,0,0,0,2.09,23.72,0,111.77
108-118,0,1.66,2.02,3.69,0,0,11.15,0,4.15,17.06,1.03,0,156.18,50.05,12.25,18.23,0,0,64.61,0,0,0,0,1.98,23.89,0.66,50.58
120,0,0,0,9.51,0,0,3.94,0,2.77,38.38,0,0,50.8,69.08,5.21,72.31,0,0,16.66,0,0,0,2.39,0,23.93,0,86.36
