stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,64.33,1491.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.97,0,0,0,0,0,0,0,0,0,0
  5-6,107.47,2424.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.32,0,0,0,16.74,77.42,0,0,0,0,0,0,0,0,0,0
  7-9,57.22,102.72,71.08,0,0,135.04,0,0,0,0,0,49.46,0,0,0,0,0,0,0,0,0,1174.36,16.96,0,0,353.53,3.76,8.28,0,0,0,0,0,0,0,0,0
 10-12,0,8.22,42.31,0,0,101.71,0,0,0,0,0,9.71,0,0,0,0,0,0,0,0,0,950.58,44.97,0,0,342.19,0,6.03,0,27.63,0,0,0,0,0,0,0
 14-21,0,0,1.9,10.88,0,2.53,0,0,0,2.87,0.84,0,0,0,5.62,0,0,6.14,0,0,3.43,64.48,0,0,0,1.79,0,0,10.08,0,0.99,9.17,19.7,0,0,0,0
 24-34,0,0,0,0.61,0,12.67,0,0,0,1.89,0,0,0,0,0,0,0,9.74,0,0,3.99,159.15,1.3,3.2,2.46,0,2.95,0,0,0,0,1.33,26.27,0,6.56,0,0
 36-46,0,0,0,2.83,0,32.95,0,0.93,0,10.68,0,0,0,0.57,0,0,0,14.51,1.84,0,2.06,192.96,0.72,0,0,0,1.02,0,0,2.85,0,0,33.15,0,0.94,0,1.65
 48-58,0,0,0,3.68,0.67,60.9,0,0,0,19.21,0,0,0,0,0,0,0,17.24,0,0,2.09,175.99,0,1.07,0,0,1.72,0,0,0,0,0,24.67,0,0,0,0
 60-70,0,0,0,0,0.69,59.88,0,0.89,0,2.46,0.62,2.2,0,0,0,0,0,12.4,0,0,8.16,142.18,0,0,0.89,0,3.67,0,0,0,0,0,20.45,0.94,0,0,0
 72-82,0,0,0,0.51,2.21,62.4,0,1.19,0,7.6,1.42,0,0.56,0,0,0,0,17.13,0,0,2.86,129.3,0,0,3.78,0,1.36,0,0,0,0,0,13.76,0,1.32,0.79,0
 84-94,0,0,0,5.11,0.83,91.26,0.69,0,3.81,11.51,0.68,0,0,0,0,0,0,28.74,0,0,1.73,82.69,0,0,0.63,0,7.59,0,0,0,0,0,6.92,0,0,0,2.54
 96-106,0,0,0,0,1.57,33.36,0.62,0,1.49,15.84,0,0,0,0,0.87,0,0,35.81,0,2.88,0.95,83.09,0,0.6,1.04,0,8.63,0,0,0,0,0,8.03,1.88,0.82,0,0
108-118,0,0,0,2.78,4.82,28.68,0,0.66,0,6.4,1.91,0,0,1.03,6.1,0,2.43,32.91,0,2.23,1.9,81.64,0,1.06,1.29,0,5.16,0,0,0,0,0,16.78,0,4.25,0,0.46
120,0,0,0,1.33,0,34.91,0,0,0,10.95,0,0,0,0,0,4.53,0,29.47,0,3.2,1.92,131.45,0,0,11.88,0,1.81,0,0,0,0,0,0,3.38,0,0,0
