stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,hatching_gland,mesenchyme,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.16,50.14,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,11.63,0,0,3.27,0,72.91,27.22,0,0,0,0
 10-12,0,0,0,0,4.54,0,0,0,0,9.05,10.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,8.39,0,0,1.82,0,0
 24-34,0,0,0,0,0.78,0,0,0,2.38,8.16,0,9.45,0,4.49,0
 36-46,0,0,1.53,0,0.69,0,0,0,1.4,2.53,0,0,0,1.31,0
 48-58,0,0,0,0,0.82,0,0,0,0.71,3.73,0,0,0,0.37,0
 60-70,0,0,3.56,0,2.31,0,0.94,0,0,3.2,0,1.91,0,0,2.44
 72-82,0,0,0.56,0,1.71,0,2.23,0,1.05,1.3,0,1.35,0,0,0
 84-94,0,0,0,0,0,0.88,0,0,2.97,0,0,2.64,0,0,0
 96-106,0,0,0,0,2.25,0,0,0,0,0,0,2.08,0,0,0
108-118,0,0,1.72,0,1.64,0.55,0,0,4.18,7.61,0,4.43,0,2.76,0
120,0,0,0,2.69,0,0,0,0,0,2.53,0,10.55,0,0,0
