stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,4.13,0,0,0,11.52,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.04,0,0,0,0,45.4,0,0,0,0,0,44.35,7.14,0,0,3.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.72,1.5,0,0,0,0,0,2.3,0,0,3.2,0,3.84,6.03,0,0,0,0,0,1.11,8.28,1.64,0.92,0,0,0,0
 24-34,0,0,2.3,0,1.15,2.02,0,0,0,0.66,1.43,0,1.14,0,0.81,51.19,0,0,6.42,0,5.74,0,34.99,0.81,7.33,0,0,0,0
 36-46,0,0,0.84,0,0,6.71,0,0.88,0,0,1.09,0,7.9,0,0.72,85.06,0,0,0,0,0,0,23.48,0,4.57,0,0,0,0
 48-58,0,0,0,0.41,22.69,2.21,0,0,1.57,0,0.56,0,19.15,0,0,214.9,0,0,2.48,0,1.24,0,51.86,0,8.08,0,0,0,0
 60-70,0,0,2.95,0,72.72,4.07,1.21,0,24.28,0,2.78,0,61.2,0,0,494.89,1.76,0,1.45,0,0,0,16.72,0,35.37,0,0,0,0
 72-82,0,0,3.62,3.08,64.75,2.14,0,0,1.03,0,2.82,0,113.7,3.75,1.29,374.53,0,2.7,15.26,0,2.3,0,8.52,0,20.4,0,0,1.49,0
 84-94,0,6.14,1.81,8.01,30.53,1.21,0,2.12,4.42,0,0.65,0,79.77,7.62,2.42,186.86,2.16,0,15.02,0,2.88,0,13.78,0,22.49,0,0,0,0
 96-106,0,2.09,1.36,2.6,42.74,0.71,0,0,2.38,0,3.6,7.81,84.32,0,6.95,184.73,0,0,16.23,0,0,0,9.52,0,2.59,2.52,5.44,0,0
108-118,0,0,2.36,7.28,12.91,1,0,0,7.54,0,3.16,0,79.95,8.78,1.45,149.93,0.43,1.92,17.7,0,2.26,0,11.44,0,4.67,0,2.4,0,1.39
120,0,0,0,1.89,95.38,2.36,0,0,7.13,0,2.19,0,66.19,11.39,0,325.9,1.45,2.4,10.79,0,0,0,17.05,0,0,0,0,0,0
