stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal.cord
  5-6,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0
 10-12,0,4.81,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0.8
 24-34,0,0,0,0,0,0,0,0,0,1.39,1.06,0.69,0,0,0,1.76
 36-46,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,2.52
 48-58,0,0,0,0,0,0.7,0,0,0.47,0.9,0.94,1.14,0,0,0,3.17
 60-70,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0.84
 72-82,0,0,0,0,0,0.71,0.56,0.7,0,0.55,0.49,2,0,0,0.57,0
 84-94,0,0,0,0,3.13,0,0,0,0,10.18,0.66,0,0,0,0.7,0.64
 96-106,0,0,0,0,0,0,1.36,0,0,0,1.9,3.28,0.97,0,0,0
108-118,0,0,0,0,0,1.42,3.18,0,0,0,0,0,0,0,1.41,1.5
120,0,0,0,0,0,0,11.4,0,0,0,0,9.43,0,0,4.05,0
