stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.04,0,0,3.51,0,0,0,0,0,0,0,0,0,0,10.31,0,0,0,5.92,0,0,0,0,0,0
 10-12,0,0,4.07,0,0,7.09,0,0,0,0,0,0,0,0,0,0,16.84,3.15,0,0,6.98,0,0,0,0,0,0
 14-21,0,1.24,1.1,9.9,0.86,0,0,0,0,0,0,0,0,2.8,0,1.85,11.15,1.08,0,1.76,2.05,0,1.03,3,0,0,0
 24-34,0,0,0,7.73,0,0,0,0,0,0,0,1.93,0,0.62,0,0,16.76,0,3.82,0,0,0,0.64,0.64,0,0,0.6
 36-46,0,0,0,3.85,0,0,0,0,0,0,0,0,0,1.44,0,0,12.38,0,36.98,0,0,0.56,0,0.77,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,3.56,0,11.86,0.46,0,0,0,0,0,0,0
 60-70,0,2.11,0,1.57,0,0,0,0,0,0,0,0,0,0.75,0.85,0,17.33,0,5.72,0,0,0,0,0,0,0,0
 72-82,0,3.29,0,0,0,5.16,0,2.5,0,0,0,0,0,1.43,2.58,0.55,25.22,0,3.43,3.18,0,0,0,0,0,2.22,0
 84-94,0,4.19,0,0,0,1.34,2.11,3.01,2.23,1.07,0.55,0,0,0.85,0,0,18.87,0,12.93,0,0,0,0,0,0,0,0
 96-106,0,0.94,0,0.59,0,0.89,21.06,2.45,0,0,0,0.6,0,1.45,1.69,0,45.23,0,4.59,0,0,0,0,0,0,0.66,0
108-118,0,2.95,0,0.89,0,23.43,0.61,2.67,0,0,0,0,0.47,6.32,3.59,0.88,159.11,0,22.43,1.48,0,0,0,4.81,0.54,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.66,0,10.66,0,0,0,0,0,13.14,0,0
