stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.9,0,5.05,0,0,12.5,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,183.92,0,0,0,14.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,22.6,0,5.29,0,0,27.67,0,0,0,0,0,14.69,0,0,0,0,0,0,0,0,0,0,0,345.94,11.92,0,0,140.61,0,0,0,0,11.11,0,6.84,0,0,0,0,0,0
 14-21,0,0,0.87,28.59,8.12,13.01,0,0,0,6.06,3.56,2.3,1.71,0,0,0,0,0,0,18.35,0,0,19.96,262.15,2.9,1.2,0,6.99,0,7.97,0,22.24,1.05,11.94,38.85,99.57,0,0,2.77,0,0
 24-34,0,0,1.38,11.9,2.05,57.28,0,0,0,19.11,0,0,0,0,0,0,0.72,1.38,2.06,65.06,0,0.91,19.47,1036.25,5.27,9.38,2.64,0,0,10,0,0,1.08,18.59,13.56,286.02,0,0,22.03,0,0
 36-46,0,3.06,0,1.24,2.17,82.03,1.28,0,2.04,29.68,0,0,0.93,0,0,0,1.17,0,0,58.59,0,0.7,10.17,1458.69,0,34.46,6.92,0,0,0.76,0,0,0.78,2.41,3.45,379.43,0,0,8.51,0,3.61
 48-58,0,0,0,5.38,2.22,269.61,2.14,7.64,2.88,77.09,0,0,1.74,0.55,0.5,0,0,0,0.62,85.67,0.41,0,15.98,1525.14,2.88,20.03,3.28,0,0,10.25,0,0,0.94,13.33,0,386.07,0,0,5.59,0,4.05
 60-70,0,0,0,8.46,0,680.43,2.57,0,1.47,109.42,1.43,0,0,2.45,0,6.19,0.59,0,0,114.81,0,12.66,7.97,1570.29,0,17.54,5.84,0,0,6.61,0,0,0,0,0,329.74,0,0,10.28,0,8.39
 72-82,0,0,0,13.9,6.19,901.89,0.58,8.7,2.11,103.99,2.59,0,2.52,0,0.6,0,0,0,7.1,154.94,0,4.46,13.92,1090.51,0,23.42,39.4,0,1.78,0.95,0,0,1.66,0,0,159.28,2.16,2.01,10.53,6.34,3.69
 84-94,0,0,0,20.66,5.77,570.49,2.5,3.54,13.65,97.86,0,0,0,3.8,0,0,1.05,0,13.1,165.66,0,0.85,8.69,794.49,0,27.77,21.36,0,0,4.77,0,0,7.11,3.09,0,108.06,0,0,7.44,2.16,0.55
 96-106,0,0,0,12.64,12.05,729.18,11.64,14.98,6.11,90.04,3.1,0,0.75,4.95,0,1.05,4.32,2.29,9.8,110.99,2.28,2.85,8.09,682.91,0,21.06,35.33,0,0,1.22,0,0,0,8.56,0,59.11,10.24,4.3,3.22,3.02,1.26
108-118,0,0,0.74,31.13,4.19,568.42,3.17,3.35,4.08,125.42,0,0,0,3.88,3.28,4.13,1.2,0,2.99,140.61,0,5.36,2.76,933.75,0.46,18.27,23.37,0,2.11,3.66,0.42,0,0.53,1.08,0,47.16,3.52,1.17,10.86,1.05,0.85
120,0,6.93,0,7.23,0,441.08,2.05,1.16,0,163.15,1.24,0,2.09,0,2.21,0,4.94,0,0,154.71,0,16.98,7.49,1314.24,2.66,30.17,52.53,0,0,14.19,0,0,5.31,3.03,0,103.71,2.39,2.93,3.25,3.15,0
