stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,spinal.cord,vasculature,xanthophores
  3-4,33.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.7,3.62,0,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0,0,0,0,7.19,0,0,4.74,0,0
 24-34,0,0,0,0,0,0.62,0,0,0,0,0,0,90.3,0,0,11.83,0,0
 36-46,0,0,0,0,0,4.05,2.79,0,0,0,0,0,128.74,0,1.42,18.83,0,0
 48-58,0,0,0,0,0,5.27,0,0.53,0,0,0.69,0,185.66,0,0,4.2,0.77,5.55
 60-70,0,0,0,0,0,24.03,0,0,0,0,0,1.13,406.39,0,0,44.52,0,0
 72-82,0,1.6,2.89,0,0,65.45,0,10.84,0,3.06,0.6,0,688.38,0,0,50.08,0,0
 84-94,0,0,1.25,0.66,0,43.79,0,1.91,1.94,1.09,2.61,0,405.19,0,0,65.83,0,0
 96-106,0,6.7,0,0,0,26.68,0,3.64,0,5.51,4.5,0,364.5,0,0,15.69,0,0
108-118,0,0,1.35,0,2.14,62.51,0,5.14,0,3.79,1.11,0,454.72,0,0,13.97,0,0
120,0,0,5.03,0,0,54.21,1.16,4.74,0,20.75,5.67,0,623.35,0,0,28.04,0,0
