stage,epidermis,eye,neural,olfactory
 24-34,0,0.6,3.52,0
 36-46,0,0,0,0.81
 60-70,0,6,0,0
 72-82,1.17,0,0,0
 84-94,0,0,8.08,0
108-118,0,0,1.48,0
