stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.19,0,0,0,0,0,5.73,0,0,0,0
 24-34,0,0,1.32,2.1,0,0,0,0,0,0,0,0,1.66,0,0.87,38.12,0,0.62,0,0.66,0,0.77,36.56,0,0,0,0
 36-46,0,0,1.51,0,0,6.49,0,0,0,0,0,0,11.05,0,0,143.17,0,0,0,0,0,0,85.59,0,0,0,0
 48-58,0,0,4.69,0,0.4,15.3,0,0,0,15.86,0,0,1.88,0,4.57,258.29,0,0,0,3.21,0,0,57.37,0,0,0.87,0
 60-70,1.54,0,97.52,0,0,4.86,0,0,0,206.75,0,1.41,5.71,0,0.56,441.92,0,0,0,0,0,0,27.39,0,7.46,0,0
 72-82,7.5,2.79,412.54,0,0,16.87,0.56,0,0,167.75,0.56,7.38,33.58,5.43,3.2,1194.62,0,0,1.5,0.99,1.46,0,111.18,0,2.76,2.61,0
 84-94,1.64,0,445.51,0,0.61,31.7,0,0,1,76,0,0.83,21.48,0,0.59,1066.45,0,0,0,0.61,0,0,54.2,1.21,2.5,0,3.79
 96-106,1.27,4.41,660.15,0,1.31,13.76,0,0.61,1.86,60.56,0.58,0,29.25,0,0.94,872.73,0,0.57,0,1.41,0,0,34.1,0,6.77,2.91,10.52
108-118,0.45,1.28,621.27,0,0,47.91,0,0,0.72,129.34,0,2.5,26.01,0,0,1050.49,0,0,0,4.03,1.03,0,17.21,0,2.82,0.99,13.44
120,20.16,0,784.63,0,3.67,125.29,0,0,0,51.52,0,0,42.1,6.92,11.87,1671.39,0,16.26,0,6.47,0,0,71.14,0,0,0,4.83
