stage,axial,blastomeres,erythrocytes,eye,fin.epithelia,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature
  3-4,0,14.49,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,22.31,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,13.51,10.67,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.66,0,0,0.9,1.03,0,0
 24-34,0,0,0,0.95,0,0,0,0,10.64,0,0,0,0.84,0,0
 36-46,0,0,0,6.66,0,0,0,0.72,7.19,0,0,0,0.73,0,0
 48-58,0,0,0,3.32,1.69,1,0.61,0,4.28,0,0,0,0.44,0,0
 60-70,0,0,0,0,0,0,2.79,0,2.55,0,0,0,0,0,0
 72-82,0,0,1.38,2.04,0,0.57,0,0,7.87,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.96,0,2.88,0,0.75,0,0,0,0.59
 96-106,0,0,0,0,0,0,2.18,0,3.62,0,0,0,0,0.66,0
108-118,0,0,0,0,0,0,1.07,0,2.99,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0
