stage,axial,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,11.42,40.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,0,6.1,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,4.44,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,5.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.99,0,0,0,0,4.15,0,0,0,3.92,0.6,0,0,3.2,0,0
 48-58,0,0,0,0,0,1.96,0.45,0,0,0,14.51,0,0,0,15.12,0,0,0,0,0.37,0
 60-70,0,0,0,0,0,12.62,0,0,0,0,3.59,1.83,2.74,0,45.71,0,0,0,0,0,0
 72-82,0,0,0,0,0,13.71,0,0,0,0,2.27,0.72,2.5,0,22.21,0,0,0,3.81,0,0
 84-94,0,0,2.09,0,0,10.95,0,0,3.07,0,5.45,0,0,0,19.31,0,0,0,6.05,0,0
 96-106,0,0,0,0,0,7.88,0,1.93,1.49,0.68,2.29,2.75,0,0,8.66,0,0,0.72,0,0,0.73
108-118,0,0,0,1.19,1.51,23.42,0,0,1.64,0,21.12,3.31,0.49,0,19.73,0,0,0,0,0,1.41
120,0,0,0,0,0,11.09,0,0,3.71,0,7.67,11.96,0,0,16.7,0,0,0,0,0,0
