stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,245.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.04,0,0,0,0,0,0,0,0,0,0
  5-6,8.29,313.84,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,441.69,0,0,0,0,0,0,0,0,0,0
  7-9,32.22,26.3,0,42.38,0,0,52.46,0,0,0,0,0,8.66,0,0,0,0,0,0,0,0,0,0,0,867.95,83.86,0,0,202.16,0,119.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.91,0,60.32,0,0,35.63,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0,0,0,1422.36,79.3,0,0,204.73,0,23.91,0,0,43.92,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,125.54,9.56,7.54,0,0,0,0.91,1.88,0,1.66,0,1.13,0,0,0,0,17.08,1.09,0,2.79,167.02,17.62,0,0,1.98,0,213.64,0,2.58,0.85,1.32,7.26,108.52,0,0,4.37,0
 24-34,0,0,1.29,0,34.85,0,33.12,0.78,7.88,0,6.04,0,0,7.45,0,3.3,0,7.17,3.21,0,18.56,4.16,2.52,15.49,322.52,2.01,0,2.05,0,0,172.15,0,0,0,0,1.26,80.32,0,0,23.56,0
 36-46,0,0,0,0,43.96,0,83.52,0.76,15.46,0.81,26.28,0,0,0,0,2.46,0.88,10.63,0,4.24,27.38,8.32,1.94,1.28,289.21,3.35,1.52,1.75,0,0,203.76,0,0,0,9.81,0,126.34,0,0,14.61,0
 48-58,0,0,0,0,43.96,0,114.88,1.94,5.87,2.97,44.19,0,0,1.73,0,11.9,3.7,10.78,0,5,53.9,1.32,0.6,2.04,156.6,6.95,0,3.05,0,0.4,94.99,0,0,0,0,0,77.99,0,0,7.76,0
 60-70,0,0,0,0,26.81,0,74.18,1.49,25.16,26.44,68.99,0,0,0,0,3.46,3.55,10.29,0,0,36.92,0,1.41,3.75,151.32,6.41,1.27,8.89,0,1.37,92.89,0,0,0,0,0,58.42,0,0,14.28,0
 72-82,0,0,0.62,0,32.46,0,144.07,5.35,10.46,12.93,75.9,0.72,0,3.36,3.94,1.14,3.17,12.15,0.64,0,70.9,0,14.05,2.7,150.78,5.14,1.61,21.09,0,7.32,51.11,0,0,0,0,0,47.85,0,0,32.71,2.2
 84-94,0,0,3.19,0,50.62,0,172.48,0,17.52,4.06,107.88,2.28,0,1.18,0.65,5.41,5.55,15.09,1.67,0,81.42,1.21,1.42,3.43,65.06,3.05,1.9,7.08,0,5.4,172.92,0,0,0,0.63,0,38.19,0,0,26.12,0
 96-106,0,0,4.69,0,52.86,0,173.71,10.66,7.74,6.03,95.62,2.19,0,3.58,2.53,2.37,5.89,5.28,2.37,0,52.32,0,1.83,2.3,129.77,5.02,2.35,10.48,0,0,123.85,3.82,0,0,1.63,0,24.53,1.17,0,27.07,3.27
108-118,0,0,0,0,50.67,5.15,119.19,2.45,1.13,2.53,149.93,1.53,0,0.61,0,3.7,9.32,9.96,7.75,0,54.2,1.97,4.64,11.17,88.94,1.94,1.25,7.27,0,1.07,68.39,0,0,0,1.85,0,30.93,6.76,0.92,20.68,0
120,0,0,0,0,49.41,0,141.37,11.18,0,3.08,136.37,10.68,0,0,1.69,11.13,0,16.48,3.79,0,90.42,0,18.86,2.04,251.9,9.15,0,19.58,0,4.48,45.21,0,0,0,0,0,35.81,0,0,63.85,0
