stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,mural.cell,neural,olfactory,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,1.26,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.87,0,0,7.46,0
 36-46,0,0,0,0,0,0,0,10.77,1.12,0,1.09,0
 48-58,0,0,1.26,0,0,0,0,15.57,0,0,2.43,0
 60-70,0,0,0,1.17,0,0,0,24.69,0,0,17.55,0
 72-82,0,0,0,1.88,0,0.55,0,23.99,0,0,11.48,0
 84-94,0,0,1.51,1.22,0.97,1.57,0,23.31,0,1.19,9.34,0
 96-106,1.49,0,0,0,1.39,4.45,4.02,13.85,0,0,9.35,0
108-118,1.35,0,0,2.25,1.88,0,0,19.03,0,3.93,32.87,0
120,4.22,1.9,0,14.21,0,0,0,42.66,0,0,14.51,19.49
