stage,erythrocytes,eye,fast.muscle,fin.mesenchyme,heart,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,slow.muscle,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0
 36-46,0,0,4.01,0,0,0,0,0,1.54,0,0,0,0,0,0
 48-58,0,0.67,5.01,0,0,0.49,0.4,0,2.28,0,0,0,0,0,0
 60-70,0,0,0.62,6.15,0,1.65,1.74,0,1.56,0.96,0,0,1.44,1.56,0
 72-82,0,2.69,1.67,0,0,6.03,1.5,0,5.1,1.96,0,0,0,1.44,0
 84-94,5.89,0,0,0,0,4.75,5.93,3.79,5.35,0,0,0,0,8.84,0
 96-106,0,0,0,0,1.3,5.42,5.56,0,7.79,0,0,2.93,0,2.45,0.92
108-118,0,0,0.57,0,0,5.8,5.9,0.57,9.04,0,0,6.78,0,0,0
120,0,0,0,0,0,0,11.39,0,2.53,0,0,0,0,0,0
