stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,278.66,5609.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.08,0,0,0,0,0,0,0,0,0
  5-6,157.35,3159.68,12.33,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,74.42,0,0,0,35.84,0,29.2,0,0,0,0,0,0,0,0,0
  7-9,40.84,69.47,79.59,0,0,172.77,0,0,0,0,17.48,0,0,0,0,0,0,0,0,0,1261.21,27.55,0,0,461.26,0,7.16,18.67,0,0,0,0,0,0,0,0
 10-12,0,34.76,60.48,0,10.65,73.72,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,1099.23,98.75,0,0,375.2,0,3.81,4.8,0,67.32,0,0,0,0,0,0
 14-21,0,1.28,3.65,33.99,7.76,16.63,0,0,8.55,3.12,2.86,0,0,1.33,0,0,0,23.39,0,16.87,294.3,27.95,0.85,1.47,18.3,0,5.34,0,11.17,0,20.04,109.84,0,0.84,0,0
 24-34,0,0,2.18,15.38,1.43,68.33,1.86,0.67,8.93,4.36,1.82,0.62,3.2,0,0,1.81,0,45.2,0.69,31.54,513.18,10.34,2.88,2.47,0,0,11.06,0,0,2.74,0.79,102.92,0,9.72,0,7.41
 36-46,0,0,0,13.57,0,166.27,0,0.89,7.49,0,0,0.56,0,0,4.74,0,1.46,36.68,2.74,11.49,390.32,13.46,1.92,2.26,0,0,3.77,0,1.63,0,0,84.74,0,2.45,0,0
 48-58,0,0,0,6.74,0,176.8,0,1.02,18,5.67,0,0,0.84,0,12.93,0,1.54,56.86,0,6.67,150.41,1.98,0,9.57,0,0,0,0,0,0,0,20.08,0,8.02,0,8.14
 60-70,0,0,0,8.34,0.65,125.91,0,0,28.93,1.58,0,0,0,0,0,0,0,42.51,3.56,6.08,125.47,8.6,1.39,1.12,0,0,0,0,0,0,0,12.77,0,4.22,0,1.82
 72-82,0,0,0,9.06,0,38.34,0,2.49,7.73,0,0,0,1.01,0.93,0,1.43,2.65,31.13,0,1.78,83.57,0,1.23,1.06,0,0,1.34,0,0,1.77,0,8.2,0,0.95,1.8,0
 84-94,0,0,0,9.47,0.76,55.63,0.97,1.01,17,0,0,1.45,5.36,2.34,0.58,0.63,0,53.53,6.82,0.77,88.16,1.11,0,3.1,0,0,5.58,0,0,1.48,0,4.73,0,9.58,0,0
 96-106,0,0,0,3.79,0,29.03,0,0,10.74,4.37,0,2.49,2.16,0,0,1.11,0,42.46,1.37,1.01,68.15,1.25,0,1.01,0,0,1.08,0,0,0,0,0,0,3.93,2,0
108-118,0,0,0.65,9.34,1.75,32.42,0,1.59,23.15,0.92,0,0,4.57,0.85,0.44,0.87,2.9,20.54,0,4.21,77.14,1.01,0.53,3.86,0,0.95,1.99,0,0,0.45,0,2.41,0.51,3.97,0,0
120,0,0,0,5.61,0,36.25,0,0,39.7,0,0,0,16.2,1.4,1.18,0,1.12,34.1,2.08,3.44,125.69,2.45,0,3.12,0,0,5.24,0,0,0,0,2.38,0,14.22,0,0
