stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,153.39,2685.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.76,0,0,0,0,0,0,0,0,0,0,0
  5-6,113.54,3132.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.33,9.37,0,0,19.35,0,8.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,49.82,68.77,0,104.62,0,0,0,359.09,0,0,0,0,0,19.22,0,0,0,0,0,0,0,0,0,0,2286.63,54.54,0,0,584.14,0,5.4,4.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,70.03,0,120.08,0,0,0,94.06,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,945.75,41.4,0,0,515.82,0,0,9.34,0,61.7,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.37,23.86,7.43,0,9.53,0,0,0,15.99,3.04,0,0,0,0.9,0,0,0,0,20.3,0,13.03,291.6,0.85,4.28,6.13,13.49,0,5.33,0,41.19,6.49,1.3,14.81,136.71,0,0,3.45,0,0
 24-34,0,0,0,0.64,7.75,2.15,0,34.3,0,0.92,0.63,18.34,0.92,2.27,0,0,0,0,0.79,0,0,55.36,0,18.71,602.52,13.61,12.34,8.38,0,0,11.9,0,0,25.78,8.94,5.28,169.56,0,0,15.58,0,0.6
 36-46,0,0,0,0,1.45,1.21,0,115.75,0,0,0,32.36,0,0,0.63,0.64,12.7,1.21,1.4,2.36,0,35.02,0,5.47,544.63,0,12.94,0.58,0,0,1.69,0,0,0,0,0,154.3,0,0,7.76,0,6.71
 48-58,0,0,0,0,8.02,0,0,251.69,0,2.37,0.67,30.85,0,0.54,2.39,0.4,0,0,0.43,0,2.28,90.26,2.17,7.1,354.83,0.37,7.71,1.62,0,0,2.49,0,0,3.14,1.71,0,99.14,0,0,12.5,0,5.99
 60-70,0,0,0,0,13.38,0.76,0,250.4,0,0,0.81,32.14,0,0,0,0,0,0.6,0.64,0,0,42.77,1.32,4.6,223.56,0.62,11.28,11.85,0,0,0.71,0,0,0,0,0,40.03,0,0,0,0,3.62
 72-82,0,0,0.61,0,8.07,1.76,0,105.55,0,0.64,0.64,31.95,2.1,0,0,1.17,0,0.64,0.86,0,0,43.17,3.58,5.43,171.69,0,11.48,2.9,0,0,7.56,0,0,0,0,0,38.16,0.67,0,14.28,0.69,0
 84-94,0,0,2.91,0,8.3,1.36,0,114.07,0,0,0,10.93,9.53,0,1.81,3.95,0.75,12.26,1.38,2.07,0,47.98,2.95,5.74,105.38,0,13.53,5.4,0,1.01,4.34,0,0,7.53,0,0,1.08,0,0,4.77,0,0.8
 96-106,0,0,1.28,0,3.63,2.68,0,61.96,1.46,2.75,0,20.54,4.16,0,2.41,0.79,1.43,2.41,2.52,0,0,25.07,0,2.63,76.52,0.77,18.74,3.29,0,0,2.11,0,0,1.33,0,0,16.44,0,4.18,6.53,0,0
108-118,0,0,0,0.42,2.79,3.04,1.03,66.13,0,1.29,0.49,15.33,2.2,0,0,0,0,2.36,0.82,1.13,0,23.01,0,4.53,144.28,0,11.67,6.48,0,0,1.28,0,0,4.12,0,0,5.14,0,0,5.04,0,0.57
120,0,0,0,0,6.92,1.95,0,81.83,0,0,0,31.46,0,0,0,0,0,0,1.74,0,0,27.55,0,1.06,66.59,0,14.68,5.63,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0
