stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.57,0,0,0,14.51,0,6.56,0,0,0,0,0,0,0,0
 14-21,0,0,206.72,2.06,0,4.97,0,0,0,1.83,0,0.86,0,0,0.86,0.93,0,4.74,0,0,5.9,26.82,0,0,1.09,0,25.48,0,0.86,1,1.83,12.77,0,0,1.91,0
 24-34,0,0,214.34,0,0,19.91,0,10.49,0,0,0,0,1.04,0,0,8.39,0,68.39,0.75,0,37.67,48.73,0.67,0,5.11,0,49.08,0,1.48,0,0,5.55,0,0,63.55,0
 36-46,0.78,0,143.32,0,0,14.8,0,34.78,0,2.57,0.59,0,3.89,0,2.19,10.47,0,264.23,0,0.8,61.39,30.45,0,0,1.95,0,49.99,0,0.63,0.65,0,23.34,0,0,54,0
 48-58,3.28,0,104.06,0,0,14.61,2.7,30.84,1.55,9.61,0,0,1.43,0,0.47,10.62,0,191.18,0.41,0,59.1,27.75,0,0,12.02,0,31.85,0,0,7.08,0,21.82,0,0,40.45,0
 60-70,4.59,0,119.88,0,0,17.93,8.6,58.61,0.62,13.45,0,0,11.17,0,0.61,24.67,2.4,407.06,1.53,0,61.76,25.14,0,2.56,17.25,0,13.39,0,3.68,1.87,0,28,0,0,60.04,0.98
 72-82,0,0,56.92,0,0,16.89,0.96,18.79,1.82,0,0.51,0,11.71,0,0,15.71,0,236.65,4.71,5.67,34.77,31.95,0,0,12.12,0,18.89,0,5.08,0,0,0,0.67,1.85,41.85,1.39
 84-94,2.04,0,139.72,0,0,33.45,2.78,56.43,0,14.74,0.58,0,0,0,0.55,9.94,0,202.71,14.8,3.39,33.13,17.8,0,1.7,11.49,0,51.22,0,1.35,1.57,0,2.56,2.78,0,28.34,1.49
 96-106,1.08,0,74.35,2.65,0.8,6.48,3.65,33.65,4.39,8.02,5.22,0,6.32,1.52,1.36,15.85,0,178.89,10.87,0,29.31,16.9,0,0.81,33.77,0,12.52,0,0.92,0.87,0,0,0,1.21,41.35,0.61
108-118,4.43,0,104.68,0,0,30.5,1.52,45.31,0,2.44,1.65,0,3.4,0,5.78,11.48,0,188.2,0.7,1.31,15.52,22.24,0,1.17,17.66,0,4.81,0,2.04,0,0,0.42,2.55,4.23,33.91,3.58
120,1.73,0,129.14,0,0,8.41,0,59.4,0,30.76,4.44,0,0,3.62,0,16.63,0,207.85,0,0,19.71,21.69,0,0,26.28,0,27.46,0,9.04,0,0,7.17,0,0,34.07,3.93
