stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,21.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.69,2.38,1.08,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,77.24,0,0,0,0,0,0,0.98,2.38,1.83,45.68,0,0,0,0,0
 24-34,0,2.39,0,0,1.93,0,0,0,0,0,0.76,0,0,0,0,0,0.85,0,0,362.36,0,1.59,0.95,0,0,0,0,0,0,129.68,0,0,0.87,0,0
 36-46,0,28.41,0,0,15.95,0,0,0.57,4.22,0,0,0,0,0,0,2.52,6.44,0,0.57,922.91,0.92,2.8,4.08,0,0,13.3,0,1.24,0,190.86,0,0,0,0,0
 48-58,0,8.73,0,0,99.65,0,0,0,23.68,0,0,0,0.61,6.47,0,0,16.03,0,7.07,1543.03,0,0,0,0,0,0,0,0,0,193.24,0,0,0.77,0,1.5
 60-70,0,7.35,0,0,267.23,0,2.09,0,8.36,0,5.1,5.03,0,0,0.72,0,13.01,0,1.13,1728.43,0.96,3.08,0,0,0,3.27,0,0,0,145.22,0,0,0.84,0.89,1.77
 72-82,0,5.61,5.75,0,624.4,0,0,2.71,20.99,1.12,0,3.46,0,0,0,5.63,47.92,0,1.31,2803.05,0.52,1.18,1.21,0,2.41,0,0,0,0,202.35,0,0,0.63,0,6
 84-94,2,13.6,0.63,0,519.08,1.16,5.33,0,19.01,0,0,6.7,0,18.54,0,0,13.49,0,5.12,1895.51,0,1.39,0,0,0,4.89,0,0,0,150.44,0,3.53,1.84,0,0
 96-106,0,6.66,0,0,426.65,0,1,0,36.77,1.8,0.58,0.95,0,0,0,10.96,23.51,0,3.95,1834.88,0,2.08,2.98,0,0,4.18,0,0,0,52.68,0,0,2.73,0,0
108-118,0.61,12.49,0.52,2.13,504.63,0,0,0,32.57,0,0,5.84,1.58,0,0,0,28.71,0.54,2.23,1948.98,0,0,5.45,0,0,0,0,0,0,43.48,2.9,1.46,7.95,1.05,0
120,1.28,46.76,0,0,591.57,0,1.42,1.58,69.27,0,0,10.87,1.51,0,0,7.84,45.12,0,3.08,2669.27,0,0,0,0,0,2.72,0,0,0,134.77,0,0,3.73,8.36,0
