stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,189.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.1,548.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,20.04,24.17,0,0,0,0,0,0
  7-9,4.72,44.47,11.93,0,0,0,46.03,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0,415.01,3.34,0,0,131.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,19.51,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,253.7,3.54,0,0,37.43,0,0,0,0,0,0,0
 14-21,0,0,0,8.23,0.93,0,4.12,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,22.97,0,0,0,2.88,1.14,3.5,2.55,6.39,0,0,0.9
 24-34,0,0,0,3.58,0,0,1.55,0,0,0,0,0,0,0,0,1.09,0,1.78,0,0,1.01,21.07,0,0,1.39,0,9,0,0,2.87,0,0,0.76
 36-46,0,0,0,1.28,0,0,6.1,0,11.09,0,0,0,0,0,0,0,0,2.27,5.89,0,1.78,21.84,0,0,10.32,0,6.8,0,0,4.65,0,0,0
 48-58,0,0,0,7.21,3.08,0,3.73,0,2.34,0,0,0.94,0,0,0,0.5,4.01,1.07,2.07,0,0,11.62,4.4,0,3.65,0,0,0,0,2.39,0,0,0
 60-70,0,0,0,9.08,0,0,5.98,0,2.09,2.01,0,0,0,0,0,2.56,0,18.22,0.73,0,0,34.6,0,0.74,7.78,0,7.88,0,0,0,0,0,0
 72-82,0,0,0,2.51,0,0,2.24,0.73,0,1.69,0,0.93,0.55,0,0,0,0,2.56,0,0,0,4.66,0,0,0.9,0,3.47,0,0,0,0.56,0.61,0
 84-94,0,0,0,5.48,0,2.83,6.6,0,0.74,3.33,0,0,1.28,1.78,2.66,0,0,9.14,0,0,0.86,9.52,0,6.69,1.51,0,9.46,0,0,0,0,0,0
 96-106,0,0,0,7.44,0,0,0.99,0,0,0,0,0,0,1.53,0,0.66,1.58,0,0,0,0,1.66,0,0,4.77,0,11.31,0,0,0,0,0,0
108-118,0,0,0,1.62,0,0,2.49,0,1.21,0.45,0,0,2.04,3.51,0,0,0,0.89,0,1.48,2.02,7.53,0,0,0.58,0,5.52,0,0,0,0,0,0
120,0,0,0,11.57,0,0,0,4.09,0,8.45,0,0,0,0,0,0,0,0,0,0,0,16.67,0,1.7,0,0,2.32,0,0,0,0,0,0
