stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,25.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.91,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,24.36,5.89,0,3.89,22.41,0,1.1,12.06,0,1.73,6.67,0,0,0,0,0
 24-34,0,0,1.71,14.45,0,2.84,0,0,2.46,1.57,1.31,0,0,0,0,0,0,0.85,25.39,0,0,19.74,61.11,7.73,4.72,4.03,0,0,8.89,0,0,11.15,17.86,0,0,0,0,0
 36-46,0,0,0,19.33,0,12.99,0,1.85,5.51,1.62,0,0.6,0,0,0,0,0,5.64,116.28,0,0,45.76,95.06,4.68,10.92,12.35,0,0,23.51,0,0,0,27.04,0,0,7.68,0,4.84
 48-58,0,0,0,28.41,0,58.51,0,1.71,2.63,6.14,0.49,5.4,0,0,0,0,0,1.96,144.61,0,0,51.64,77.13,3.05,0,9.02,0,0,6.2,0,0,0,27.11,0,0,13.46,0.5,3.82
 60-70,0,0,0,31.49,0,115.09,0,13.87,4.61,62.17,0,11.99,0,0,5.32,3.41,0,0,251.03,0.73,7.24,32.92,105.64,11.41,0,9.69,0,0,9.43,0,0.71,0,7.69,1.83,5.75,7.25,0,13.6
 72-82,0,0,1.41,27.36,0,95.94,0,6.27,7.04,112.66,0,4.12,0,0,1.5,0,1.36,0,310.63,0,3.29,32.38,107.85,5.18,3.16,18.51,0,1.4,2.02,0,1.6,0,10.86,0,8.82,36.19,2.21,22.87
 84-94,0,0,2.22,73.86,3.44,75.73,0,5.33,1.53,76.8,0,4.97,0.85,0,5.52,0,0,0,372.44,0,5.35,24.26,121.66,20.32,3.63,32.31,0,0,13.86,0,0,0,4.43,1.81,4.07,27.9,1.26,13.47
 96-106,0,0,4.02,44.29,0,321.9,0.97,2.66,7.11,141.34,2.78,4.1,0.9,0,2.29,0,0,0,320.58,1.53,0,30.5,82.92,18.1,9.23,13.75,0,0,8.01,0,0,0,3.7,0,4.44,26.1,0.76,5.53
108-118,0,0,3.67,69.63,0,283.58,0.73,2.1,7,74.42,6.12,1.53,1.2,0.45,5.58,0,0.6,0.51,368.69,0,4.02,24.99,119.16,24.14,6.89,23.8,0,1.52,5.16,0,0.53,0,5.05,8.17,3.43,59.18,2.53,9.82
120,0,0,0,67.73,0,254.22,0,3.61,13.35,108.12,7.96,4.12,0,0,8.48,2.12,0,0,346.36,0,12.61,9.71,171.08,75.62,0,30.33,0,0,22.73,0,0,0,23.07,3.59,13.74,23.16,4.54,20.15
