stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,83.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,34.91,0,0,0,3.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.48,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.49,5.62,1.63,0,0,0,1.05,0,0,0,0,0,3.28,0,0.85,37.65,0,1.04,0,0,0,0,3.73,0.86,1.15,7.36,0,0,0
 24-34,0,0,0,2.46,4.78,0,0,1.07,0,0,0,0,0,0,5.69,0,1.45,73.21,2.07,0,0,0,0,2.46,0,0,1.82,16.34,0,3.09,0.77
 36-46,0,0,0,2.34,9.24,1.12,0,1.56,0,0,0,0,0,0,3.04,0,2.23,53.01,0,0,0.57,0,0,3.49,0,0,0,13.28,0,0,0
 48-58,0,0,0,0,12.42,0,0,4.7,0,0.66,0.4,0,0,0.54,9.27,0.75,1.41,46.88,0,0,0.38,0,0,1.72,0,0,0,13.13,0,0.51,1.12
 60-70,0,0,0,6.21,17.54,0,0,3.69,0,0,0,0,0,0,8.14,0,1.2,16.48,1.31,0,0,0,0,2.93,0,0,0,3.41,0,0,6.3
 72-82,0,0.95,0,0,5.18,0,0,1.86,0,0,0,0,0,0,9.31,0,1.3,22.35,0,0,0,0,0,0.55,0,0,0,1.64,0,0.63,0
 84-94,0,0,0,0,1.42,0.56,0.74,0,1.36,0,1.16,0,0,0,6.27,0,0,14.41,0,0,0,0,0.6,1.06,0,0,0,0.8,0,0,0
 96-106,0,0.9,0,1.77,3.93,0,0,0,0,0,0,0,0,0,8.54,3.2,0.78,9.65,0,0,0,0,4.17,3.2,0,0,0,1.09,0.92,0,0
108-118,0,0,0,0.75,0,0,1.5,2.82,0,0,0,0.93,0,0,1.68,0,1.6,7.62,0,0,2.22,0,0,0,0,0,0,0.92,0,1.79,0
120,0,0,0,8.17,0,0,0,2.99,0,0,0,0,1.59,0,15.48,0,1.02,32.61,0,0,0,0,0,0,0,0,0,5.94,0,0,0
