stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,68.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,259.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,0,0,0,9.43,18.86,0,0,0,0,0,0,0,0,0
  7-9,13.44,13.3,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.21,4.1,0,0,35.9,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.44,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.15,7.35,0,0,16.39,0,0,8.13,0,0,0,0,0,0,0
 14-21,0,0,0,3.9,24.6,6.4,16.4,0,0,0,8.62,2.42,0,0,0,0,0,0,12.74,0,13.33,234.92,2.58,5.59,0,4.97,0,29.09,1.83,1.07,34.07,90.75,0,3.66,0,3.56
 24-34,0,0,0,0,0,0,26.09,0,0,0,1.33,0,2.01,0,0,0,0.82,0,20.75,0,5.04,245.35,0,1.5,0,0,0.71,0,0,0,1.24,36.23,0,2.91,0,0
 36-46,0,0,0,0,1.71,0,43.85,0,0,0.81,8.71,0,0.75,0,0,0,0.74,0,16,0,1.72,160.36,0,1.34,1.19,0,1.8,0,2.13,0,0,39.17,0,5.04,0,1.08
 48-58,0,0,0,0,4.5,0,42.04,0,0,0.87,7.47,0.64,0,0,0,0,0,2.92,18.69,0,3.3,126.3,0,0,2.37,0,0.52,0,0,0,0,23.62,0,0.64,0,0
 60-70,0,0,1.1,0,0,0,68.83,0.95,0,8.91,13.39,0,0,0,0,0,0,0,31.69,0.59,2.37,115.66,0,7.75,0,0,0.62,0,0,0,0,9.99,1.47,1.94,0,0
 72-82,0,0,0,0,4.1,0,76.13,0,0,0,9.14,0,1.42,3.55,0,0,0.6,0,28.19,0,7.06,112.04,0.56,0,1.14,0,0.96,0,1,0,0,3.04,1.16,0,0,0
 84-94,0,0,0,0,1.23,0,57.75,0,0,1.75,21.6,2.13,0,0,1.4,0,0.76,0,11.81,0,6.98,63.5,0,0,0,0,0,0,0,0,0,9.95,0,5.01,0.72,0
 96-106,0,0,0,0,4.28,0,26.05,0,0,0,17.02,0,0,0.95,1.42,0,0,0,20.87,0.59,1.87,51.73,0,1.4,0.57,0,3.19,0,0,0,0,8.48,0,2.78,0,0
108-118,0,0,0,0,1.04,0,14.59,0,1.24,0,7.49,1.45,1.02,0,0,2.63,0,0.5,25.75,1.65,2.22,84.79,0,0.6,0.98,0,0.91,0,0,0,0,4.14,0,2.48,0,1.18
120,0,0,0,0,3.46,1.12,12.07,0,0,0,12.79,0,3.06,0,0,0,0,0,7.81,0,1.28,56.96,0,0,0,0,2.27,0,0,0,0,1.98,0,0,12.9,0
