stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,0,979.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.34,0,0,0,0,0,0
  5-6,37.47,697.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.77,0,6.17,7.49,0,0,0,0,0,0
  7-9,3.43,8.23,3.83,0,0,0,50.23,0,0,0,19.88,0,0,0,0,0,0,0,359.75,3.22,64.3,0,0,0,0,0,0,0
 10-12,0,8.15,5.29,0,0,0,24.27,0,0,0,17.51,0,0,0,0,0,0,0,515.9,13.73,89.65,0,54.49,0,34.69,0,0,0
 14-21,0,0,0,10.17,0.85,0,15.64,0,0,0,0,1.35,0,1.14,0,0,6.58,1.72,112.45,1.08,0,0,8.41,8.86,0,9.39,12.15,0
 24-34,0,0,0,2.22,0,0,21.71,0,0,0,0,0,0,0,0,0,5.76,1.92,91.26,0,0,1.22,0,0,0,0,17.37,7.36
 36-46,0,0,0,0,0,0,32.46,0,0,0,0,0,0,0,0,0.66,0,0.63,46.04,0.61,0,0,4.2,0,3.76,0,8.86,0
 48-58,0,0,0,0,0,0,33.25,0,5.67,0.92,0,0,9.1,0,0.39,0.54,1.96,0.46,17.69,0,0,0,1.31,0,0.4,0,7.47,0
 60-70,0,0,0,0.71,0,0,17.94,0,9.64,0,0,0,6.73,0,0,0,0.66,0,23.05,0,0,0,0.85,0,0.83,0,6.09,8.91
 72-82,0,0,0,0.51,0,0,22.27,0,7.41,1.92,0,0,0.9,0,0,0,1.38,1.22,10.81,0,0,0,0,0,2.93,0,1.01,0
 84-94,0,0,0,0,0,0,38.93,0.6,1.29,0,0,0,0.58,0,2.03,6.41,0,0,13.16,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.8,0,0,8.43,0,1.33,0,0,0,0,0,0,0,2.32,0,6.2,0,0,0,2.88,0,0,0,0,0
108-118,0,0,0,0,0,0.59,34.23,0,6.74,0,0,0.49,0,0,0,0,0.66,0,15.29,0,0,0,3.11,0,0.52,0,5.31,0
120,0,0,0,0,0,0,46.17,0,16.53,0,0,0,0,0,0,0,0,1.12,10.36,0,0,0,1.53,0,0,0,0,0
