stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,308.04,5192.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.87,0,0,0,0,0,0,0,0,0,0
  5-6,1322.74,5098,39.5,0,0,0,0,0,0,0,0,263.69,0,0,0,0,0,0,0,0,0,0,233.6,21.64,0,0,35.26,0,41.75,0,0,0,0,0,0,0,0,0,0
  7-9,786.57,81.94,252.89,0,0,116.06,0,0,0,0,0,1037.84,0,0,0,0,0,0,0,0,0,0,1538.77,111.75,0,0,589.92,0,0,21.15,0,0,0,0,0,0,0,0,0
 10-12,0,3.83,25.33,0,4.69,13.88,0,0,0,0,0,42.48,0,0,0,0,0,0,0,0,0,0,313.99,25.82,0,0,141.84,0,0,9.63,0,22.61,0,0,0,0,0,0,0
 14-21,0,0,1.71,19.61,20.65,26.61,0,0,0,0,0,0.96,0,0,0,0.87,0,34.3,21.02,10.29,0,11.04,58.58,3.61,0,0,2.68,0,0,0,26.16,3.72,9.99,17.81,13.42,0,0,0,21.44
 24-34,0,0,0,1.75,2.44,77.68,0,1.55,0,0,0,0,0,0,0,61.74,0,21.76,181.79,10.27,0,3.74,78.27,0.77,0,5.55,0,0,2.89,0,0,2.52,2.84,1.98,20.83,0,4.91,0,131.29
 36-46,0,0,0,0.61,1.31,44.32,0,0,2.09,0.99,0,0,0,0,0,171.17,0,9,152.96,20.43,0,0.59,58.99,0,1.13,1.67,0,0,4.15,0,0,0,0,0,12.02,0,0.92,0,67.8
 48-58,0,0,0,1.99,2.01,44.42,0.62,0,0.69,8.86,0,0,0,0,0,441.63,0,1.76,94.94,25.68,0,2.74,59.44,0,0,0,0,0,0.43,0,0,0,0,0,15.94,0,2.38,0,131.25
 60-70,0,0,0,0.59,2.87,62.32,0.79,0,0,20.41,0,0,0,0,0,706.27,0,6.89,36.28,16.47,0,0.73,69.16,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,64.9
 72-82,0,0,0,0.95,17.05,37.21,0,0,3.5,12.63,0,0,0,0,0.51,683.42,0,91.36,37.09,57.01,2.08,1.4,59.61,0,0.93,0,0,0,0,0,0,0.64,0,0,12.05,1.54,18.99,0,44.34
 84-94,0,0,0,0,19.27,53.64,0,4.53,0.75,13.67,0,0,1.81,1.15,0,1083.08,0.65,165.52,49.7,58.27,0,2.82,55.15,0,0,0.79,0,0,3.52,0,0,0,0,0,3.14,0.74,9.2,0,64.17
 96-106,0,0,1.44,0,29.11,14.54,0,1.4,1.7,27.54,0,0,0.73,2.92,0,755.05,0,216.42,30.42,58.01,8.82,8.37,49.74,1.7,0,0,0,2.06,3.08,0,0,0,0,0,2.3,0,3.27,0.8,65.99
108-118,0,0,0,2.38,22.6,27.15,0,0.81,4.29,18.29,0.63,0,0,0.43,2.57,1106.89,0,504.49,32.11,61.46,6.31,2.04,101.62,0.46,0.93,0,0,4.01,1.32,0.48,0,0,0,0,2.58,6.26,1.32,0,29.35
120,0,0,0,0,19.82,29.59,0,0,0,22.93,0,0,0,0,1.45,607.35,0,360.62,6.64,34.24,0,18,129.56,0,0,0,0,0,0,0,0,0,0,0,2.39,0,9.25,0,7.85
