stage,blastomeres,endoderm,epidermis,eye,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,somites
  3-4,43.2,0,0,0,0,0,0,0,0,0
  7-9,0,14.65,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.83,0,0
 14-21,0,0,0.84,0.91,0,0,0.82,0,0,0.9
 24-34,0,0,0,6.73,0.88,0,0.78,0,0,0
 36-46,0,0,0,14.58,0,0,0,0,0,0
 48-58,0,0,0,20.48,0,0,4.54,0,0,0
 60-70,0,0,0,18.81,0,0,0,0,0,0
 72-82,0,0,0,4.09,0,0,0,0,0,0
 84-94,0,0,0,18.37,0,0.84,0,0,0,0
 96-106,0,0,0,1.41,1.2,0,0,0,0,0
108-118,0,0,0,3.21,0,0,0,0,3.65,0
120,0,0,0,14.52,0,0,0,0,0,0
