stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,39.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,69.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.64,18.68,0,0,19.42,0,0,0,0,0,0,0,0,138.94,4.4,0,77.5,0,0,0,0,0,0,0
 10-12,12.76,9.99,0,0,6.92,0,0,0,3.97,0,0,0,0,146.29,11.88,0,96.22,0,0,0,0,0,0,0
 14-21,0,0.9,32.39,9.54,2.24,0,1.33,3.51,0,0,7.54,16.8,5.15,54.82,4.79,0,7.93,2.06,20.59,3.75,14.69,24.01,0,0
 24-34,0,0,2.95,0,0.65,0,0.92,2.99,0,0,0.59,4.09,2.36,32.07,0,0,0,0.61,0,0,0,5.88,0,1.32
 36-46,0,0,0,0,0.64,0.58,0,0,0,0,0,2.88,2.42,27.5,0,0,0,3.18,0,0,0,6.33,0,0
 48-58,0,0,0,0,5.49,0,3.48,0,0,0,0,4.54,1.05,24.85,0,0.58,0,1,0,0,0,12.26,0,0
 60-70,0,0,0,0,3.69,0,0,0,0,6.79,0,0,0,8.8,0,0,0,0.6,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.06,0,0,0,0,1.19,0,15.47,0,0,0,0,0,0,0,0.85,0,0
 84-94,0,0,0,0,3.03,0,0,0.57,0,0.78,0,1.78,0,5.89,0,0,0,1.14,0,0,0,1.21,1.8,0
 96-106,0,0,0,0,0,0,0,0,0,1.15,0,2.82,0,1.5,0,0,0,0,0,0,0,0,0,0
108-118,0,0,2.42,5,1.35,0,0.82,1.61,0,0.45,0.46,1.02,0.44,6.76,0,0,0,0,0,0,0,0,0,0
120,0,0,1.32,0,0,0,3.29,0,0,0,0,0,0,7.2,2.7,0,0,0,0,0,0,0,0,0
