stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1634.08,17679.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,9190.71,26060.89,0,369.41,0,0,0,0,0,0,0,0,1589.82,0,0,0,0,0,0,0,0,0,0,0,6375.92,8.7,0,0,585.37,0,423,0,0,0,0,0,0,0,0,0,0,0
  7-9,676.3,432.51,0,2229.62,0,25.9,1134.62,0,0,0,0,0,2986.75,0,0,0,0,0,0,0,0,0,0,0,10519.16,63.42,0,0,3864.46,0,20.52,17.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,470.07,0,360.35,0,97.95,1174.3,0,0,0,0,0,23.47,0,0,0,0,0,0,0,0,0,0,0,9490.81,99.83,0,0,2461.92,0,0,0,9.68,419.42,0,36.17,0,0,0,0,0,0
 14-21,0,0.93,3.7,11.5,55.5,17.91,317.76,0,0,0,67.1,3.7,13.65,2.77,0,1.08,0,0,15.36,1.01,75.36,0,0,62.05,3107.41,1.92,0,0,7.16,0,0,0.9,126.98,0.9,0,75.13,642.59,0,0,7.86,0,0.98
 24-34,0.88,0,1.93,6.74,32.1,1.62,129.39,0,7.56,5.29,195.06,3.73,0.74,5.38,0,6.18,0,2.26,3.29,3.28,147.21,0,0.89,40.7,6771.82,0.83,0.97,13.75,0,0,2.95,0,1.1,9.87,0,11.98,1663.99,0,0,59.3,0,0.86
 36-46,0,0,0,0,26.18,0,228.95,0,4,9.76,377.99,0,0,4.14,0,0,1.26,4.59,13.72,18.37,156.47,0.95,2.36,26.9,7494.65,0,3.63,10.77,0,0,1.62,0,0,14.3,0,0,1983.17,0,0.62,37.9,0,4.23
 48-58,0,0,0,0,12.54,0,919.17,0.67,3.13,16.59,485.02,3.3,0,1.42,2.47,0,0.46,4.06,0,4.89,146.54,0,2.14,15.53,4398.37,0,0.74,11.84,0,0,10.81,0,0,10.41,0.46,0,1205.36,0,0,50.89,0,16.74
 60-70,0,0,0,0,23.49,0,2679.01,0,6.88,44.19,398.58,0,0,1.35,0,0,0,4.73,3.2,7.16,237.26,0,14.3,10.27,4567.82,0,0,9.01,0,5.72,7.05,0,0,6.63,0,0,894.16,0,3.96,33.68,0,11.95
 72-82,0,0,3.41,0.56,22.41,4.14,2594.91,0,5.22,33.67,276.47,0,0.59,4.06,0.49,0.74,4.15,3.4,4.22,1.55,160.44,0,5.26,11.02,3170.97,0,8.65,13.4,0,0,8.97,0,0,5.25,0,0,456.67,4.85,2.49,37.52,1.61,45.23
 84-94,0,0,0,0,22.53,0.57,1713.74,0,13.99,39.83,265.92,4.15,0,4.61,0.73,0.67,8.57,2.16,0.63,5.01,197.15,1.71,8.54,2.39,1953.76,0,1.55,23.19,0,0,5.25,0,0,4.73,0,0,334.24,0,8.34,36.78,3.18,11.09
 96-106,0,0,1.35,0,26.35,2.26,1149.71,0,5.55,25.7,220.7,0.66,0,2.34,2.21,1.93,0,5.21,8.91,4.25,133.08,3.47,1.26,12.28,1451.88,0,11.42,25.07,0,0,16.19,0,0,5.6,0,0,122.92,3.01,11.38,45.3,5.39,12.26
108-118,0,0,4.33,0,30.8,0.6,1299.04,0,14.86,29.01,230.72,2.11,0,2.17,0,1.44,4.78,0.62,5.76,9.84,144.81,0,0,3.33,2284.35,0,2.4,21.12,0,0,0.85,0,0,0.5,0,0,118.34,0.42,0.88,53.71,3.11,44.3
120,0,0,0,0,28.48,10.45,831.5,0,7.83,15.84,305.89,2.7,0,0,9.94,7.56,0,0,2.82,4.88,118.3,0,4.02,13.95,3865.15,0,31.18,17.82,0,0,6.46,0,0,4.44,0,0,148.68,0,0,11.8,0,9.75
