stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0
  7-9,8.06,0,0,0,0,0,0,0,14.56,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,56.29,0,0,0,0,0,0,0,0
 14-21,0,8.38,35.64,0,0,0,0,0.85,9.84,0,1.54,0,1.18,0,0.9,0,0
 24-34,0,4.88,288.62,0,0,0,0,0.67,16.96,1.27,0,0,0.68,0,0,0,0.79
 36-46,0,0,45.59,0,0,1,0,0,1.62,0,0,0,0.59,0,0,0,0
 48-58,0,0,34.67,0,0.89,0,0.55,0,0.63,0,0,0,0,0.98,0,0,0
 60-70,0,0,1.62,0,0,0,0,0,10.18,0,0,0,1.46,0,0,0,0
 72-82,0,0,2.18,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,15.63,5.94,0,0,0,0,0,0,0,1.31,0,0,0,6.61,0
 96-106,0,0,4.04,0,0,0,0,0,0,0,0,29.37,0,0,0,0,0
108-118,0,0,4.98,0,0,0,0,0,0,0,0,7,0,0.43,0,0,0
120,0,0,2.84,0,0,0,0,0,6.11,0,0,13.5,0,0,0,0,0
