stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,60.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,107.27,0,0,0,0,0,0,0,0,0,0,19.76,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.5,24.36,30.17,0,0,0,0,0,0,0,0,0,3.7,89.95,0,0,230.95,0,0,0,0,0,0,0,0
 10-12,0,0,6.26,0,0,0,0,0,0,0,0,0,49.33,25.58,0,0,220.93,0,4.33,0,0,0,9.07,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.87,0,6.9,0,0,0,0,0,0,12.11,0,2.62,4.3,0,0
 24-34,0,0,0,0,2.01,0,0,0,0,0,0,1.22,4.93,0,1.7,0,0,0,0,0,0,0,0,2.12,0.77
 36-46,0,0,0,0,1.9,0,0,0,0,0,2.2,0,31.97,0,0.87,1.03,0,0,0,0,0,0,0,4.52,0
 48-58,0,0,0,0,3.81,0,0.58,0,0,0,0.69,0.44,9.53,0,0.63,0,0,0,0,0,0,0,0,1.82,0
 60-70,0,0,0,0,27.5,0,0.92,0,0,0,1.32,0,9.64,0,2.47,0,0,0,0,0,0,2.37,0,0,0
 72-82,0,0,0,0,66.23,0.74,3,0,0,0,2.37,0,10.7,0,6.76,1.34,0,1.03,0,0,0,0,0,0,1.09
 84-94,0,0,0,0,50.06,0,0,0,0,0,1.9,0,0.79,0,0,2.48,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.73,66.79,0,5.38,1.47,0,0.65,4.13,0,44.64,0,0.74,7.17,0,0,0,0,0.78,0,0,1.78,0
108-118,0,0,0,0,62.84,0,6.23,0,0.75,0.74,0,0,5.72,0,8.36,4.43,0,0,0,0,0,0,0,0,1.62
120,0,0,0,0,68.41,0,4.92,0,0,0,6.08,10.8,9.03,0,24.87,25.44,0,4.59,1.71,0,0,0,0,0,1.46
