stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.47,33.43,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.56,0,0,6.83,0,0,0,16.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.12,0,0,12.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,52.36,0,0,0,8.83,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,82.62,0,0,53.17,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.8,0,0,0.96,0,0,0.91,0,0,0,0.9,0,0,0,8.19,0,0,8.54,39.75,0,0,0,0,17.47,0,13.04,12.33,9.59,0,0,0
 24-34,0,0,0,0,0,0,0,2.69,0,0,0,0,1.06,0,0,0,0,0.66,13.7,0.63,0,1.7,74.18,2.34,0,0,1.55,0,0,0,12.42,17.52,0,0,2.15
 36-46,0,0,0,0,0,0,0,8.92,0,3.67,0,0,0,0,0.68,0,0,0.79,6.5,1.07,0,0,51.24,5.92,0,0,0,0,11.55,0,0,16.7,0,2.68,0
 48-58,0,0,0,0,0.44,0,0,15.96,0,1.85,0,0,0,0,0,0.81,0,0,5.37,0,0.83,0.63,15.26,1.46,0.39,0,0,0,0,0,0,11.67,0,0,2.44
 60-70,0,0,0,0,1.46,0.94,0,12.33,0,0,0,0,0,0,0,0,1.52,0,2.69,0,0,0,38.67,0,0,0,0.76,0,0,0,0,1.59,1.72,0,0
 72-82,0,0,0.88,0,0,0,0,12.73,0,1.47,0,0,0,0,0,0,0,0,1.6,0,0.74,0,26.67,0.93,0,0,0,0,0,0,0,0,0,0.72,0
 84-94,0,0,1.19,0,0,0,0,11.01,0,0,0,0,0,0.62,0,0,0,0,2.71,0,0,0,15.61,0,0,0,0,0,0,0,0,6.22,0,0,0
 96-106,0,0,0,0,2.56,0,0,9.85,0,0,1.11,0,0,0.86,1.5,0,0,0,7.25,0,0,0,27.45,0,0,0,1.02,0,0,0,0,0,0,0.78,0
108-118,0,0,0.94,0,0.66,0,0,26.91,0.53,0,0,0,0,0,0,0.52,0,0,5.56,0,0,0.76,20.7,0,0,0,1.25,0,0,0,0,0,0,0,0
120,0,0,0,0,2.41,8.45,3.74,14.25,0,13.21,8.33,0,0,0,0,0,0,0,2.33,0,13.74,0,32.92,0,0,0,0,0,0,0,0,0,0,0,0
