stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,202.77,4364.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.22,0,0,0,0,0,0,0,0,0
  5-6,269.51,3238.65,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,42.2,6.07,0,0,15.53,0,137.21,0,0,0,0,0,0,0,0,0
  7-9,7.63,6.21,0,9.09,0,0,0,24.71,0,0,0,0,10.54,0,0,0,0,0,0,0,0,0,0,0,440.8,12.93,0,0,154.87,0,26.34,9.39,0,0,0,0,0,0,0,0
 10-12,0,4.65,0,95.67,0,15.91,0,31.54,0,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0,486.76,11.55,0,0,180.52,0,14.89,11.51,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.76,200.77,2.88,0,3.55,0,0,0,8.69,0,0,0,9.93,0,0.93,0,0,8.68,2.08,0,0.93,12.23,0,0,2.32,0,0,20.26,0.99,2.03,3.17,2.97,3.93,0,0,0,0
 24-34,0,0,0,0,56.48,0,0,1.53,3.09,0,0,0.67,0,0,5.5,23.6,0,1.45,0,0,6.44,5.19,0,0,36.89,0.66,10.28,0,0,0,112.62,0,0,3.29,0,1.03,0,0,1.11,0
 36-46,0,0,0,0,33.76,0,0,5.11,29.84,0,1.78,6.57,8.27,0,0.89,16.75,0,2.47,0,0,0.63,6.68,0,0.67,51.68,0,12.72,3.75,0,0,153.25,0,0,5.13,0,10,0,0,0,0
 48-58,0,0,0,0.51,56.45,0,0,5.55,6.3,0,2.01,0,1.67,1.04,0.56,12.4,0,2.59,0,0.38,4.33,5.4,1.03,0.83,79.65,0,13.23,0,0,0,127.62,0,0,0,0,2.52,0,0.37,0,0
 60-70,0,0,0.89,0,90.96,0,0,19.1,29.38,0,2,10.83,0,0,3.95,16.7,0,2.58,2.03,0,2.53,10.85,0,0,62.07,0,9.2,7.24,0,0,209.29,0,0,1.95,0,9.77,0,0.9,9.41,0
 72-82,0,0,2.96,0.78,29.99,0,0,3.57,8.92,0,0,14.4,0,1.41,1.86,12.04,0,2.86,2.18,0,3.62,8.86,0,1.27,46.51,0,25.3,16.33,0,1.4,138.03,0,0,0,0,1.65,2.04,0.9,0,0
 84-94,0,0,0.98,0,159.31,2.15,0,9.64,39.54,1.18,0,22.56,2.02,3.9,8.18,29.68,0,2.2,0,0,10.86,11.16,0,0.57,25.68,0.65,21.93,13.42,0,0,416.99,0,0,2.14,0,3.25,2.76,1.36,0,0.67
 96-106,0,0,0.9,0,107.62,0,0.63,12,18.29,0,8.03,23.54,0,0,7.68,38.57,1.89,19.92,2.59,0,10.07,25.9,0.92,0,57.82,0,38.64,19.13,0,1.6,331.39,3.82,0,0.73,0,0,9.7,0,0,0
108-118,0,0,5.4,0,127.04,7.64,0.63,10.58,39.83,0,4.39,52.05,0,3.75,7.34,44.2,0,10.34,4.44,0,14.88,24.35,1.96,0.54,47.29,0,23.14,18.66,0,0,222.4,0,0,7.72,0,0,20.37,7.01,0.45,0
120,1.12,0,1.22,0,144.03,0,1.61,17.13,21.39,0,0,35.75,0,0,12.96,22.04,0,5.09,5.02,0,1.22,31.86,1.38,1.82,92.43,0,26.95,22.26,0,0,232.3,0,0,9.06,0,0,3.93,0,0,0
