stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,7.86,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0,0,0,0,0
 36-46,0,0,0,0,0,59.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,0,0,0,0,0,2.88,0,0,0,0,0
 48-58,0,0,0,0,0,507.11,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,0,10.17,0,1.22,0,0,0,4.33,0,0,0,0,0
 60-70,0,0,0,9.41,0,5728,3.1,0,0,5.42,0,0,0,0,0,0,0,0,7.05,0,0,0.72,64.18,0,6.82,0,5.75,0,6.04,0,0,0,0,8.92
 72-82,0,2.79,0,43.11,0.78,17787.32,1.13,0.58,4.36,147.13,0,2.66,1.58,2.82,1.7,0,10.65,4.19,40.23,0.67,1.44,3.09,414.08,0.55,0,0.91,6.2,0,6.68,0.88,1.39,0,2.47,1.69
 84-94,0,0,0,32.21,5.17,11769.4,0,1.19,2.04,187.07,1.93,0,0,1.83,1.53,1.3,4.22,0,32.08,0,0,0.57,303.43,0,0,5.22,8.44,0,20.22,0,3.15,5.54,4.47,0
 96-106,0,4.55,0,77.19,24.81,19006.51,0.94,7.78,5.39,187.51,3.99,4.84,9.21,0.74,2.67,0,38.21,0,36,0,1.65,9.63,392.71,0.75,2.27,0.6,19.75,0.7,4.73,4.97,2.83,11.26,5.23,15.07
108-118,0,0,0,58.77,3.18,14918.91,0.54,1.21,2.11,121.29,7.15,0,8.72,1.55,0,0,5.78,0,41.45,0,6.75,4.66,399.85,1.59,0.64,19.83,17.6,4.44,10.54,2.34,0,2.88,12.58,0
120,0,0,3.17,52.17,0,7107.38,3,1.78,6.64,130.37,4.14,2.63,0,2.65,0,1.88,0,0,25.31,0,2.08,13.15,573.81,0,4.24,10.2,16.05,0,0,2.24,0,2.01,0,8.94
