stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.53,1260.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.28,381.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.49,12.19,0,24.04,0,0,0,47.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.13,8.58,0,0,58.14,0,0,14.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.08,0,23.49,0,0,0,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.15,18.65,0,0,147.78,0,0,0,0,34.19,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.69,17.54,1.77,0,10.46,0,1,0,1.57,2.73,0,0,0,0,0,0,1.01,11.76,0,0,5.24,164.74,6.32,0,2.73,0,0,1.09,0,18.41,2.45,4.16,11.39,56.82,0,0,1.01,0,0
 24-34,0,0,0,1.99,15.63,0,0,37.97,0,0.59,0.74,8.01,2.05,0.98,0,0,0,0,6.89,0,39.05,0,0,12.8,565.48,3.44,14.19,6.04,0,0,10.61,0,0,1.65,0,6.09,108.39,0,0,9.36,0,2.54
 36-46,0,0,0,0,15.53,0,0,113.11,1.89,0,1.25,36.37,0,0.57,4.65,0,0.94,0.71,2.27,3.78,45.37,0,0,21.66,976.6,1.83,13.14,5.34,0,0,44.85,0,0,2.62,0,0.91,234.71,0,0,10.72,0,2.29
 48-58,0,0,0,0,21.41,1.07,0,181.39,3.52,2.39,4.66,40.22,0,1.74,0,0.88,0.43,1.28,0,0,39.79,0,2.03,7.77,783.71,2.53,11.39,3.28,0,0.4,11.78,0.65,0,0.54,6.38,0,191.6,0,0,1.97,0,0.97
 60-70,0,0,0.89,0,22.56,0,0,343.28,0.69,4.72,3.47,63.34,2.33,1.39,2.3,0,3.41,1.35,2.04,3.54,97.87,0,2.19,14.45,996.93,2.55,11.25,2.11,0,0,20.71,0,0,2.45,2.81,0,229.71,0.77,0,3.5,0,11.75
 72-82,0,0,2.7,0,4.39,11.33,0,322.33,1.62,0.55,4.27,93.15,1.22,2.52,3.86,0.7,5.71,6.04,0,1.45,119.13,0,0.92,9.24,796.78,1.13,12.75,4.37,0,0,4.24,0,0,1.74,0,0,155.09,0.56,5.68,13.49,3.41,15.74
 84-94,0,0,3.53,1.04,15.32,12.54,0,195.25,0,1.83,6.84,53.32,4.9,1.31,5.65,2.14,4.86,2.18,1.74,8.18,62.08,0.91,8.57,10.22,536.99,0.58,20.9,4.32,0,0,47.52,0,0,0.8,2.01,0,101.3,0,2.65,8.31,4.27,11.95
 96-106,0,0,1.11,0,32.35,25.9,0,225.39,6.24,2.46,5.87,67.76,3.02,1.02,21.34,0.69,2.25,3.97,11.78,1.24,105.75,2.71,2.94,4.8,592.05,0.58,10.23,17.82,0,1.88,17.63,0,0,0,0,0,33.34,1.72,2.14,14.59,7.32,4.39
108-118,0,0,0.95,0,37.15,2.23,0.5,213.7,0.62,5.05,6.13,93.68,4.22,0.89,10.63,2.35,5.12,4.74,3.19,0.48,133.85,0,8.12,11.92,748.57,1.34,12.34,13.13,0,3.53,18,0,0,1.59,3.14,0,34.31,2.45,0.69,17.42,0.77,8.33
120,0,0,6.95,0,26.34,4.75,0,220.69,22.28,7.2,0,131.22,3.37,10.23,14.75,0,2.86,8.66,4.86,0,154.49,3.43,0,15.67,946.84,4.62,4.76,13.33,0,0,23.92,0,0,0,5.33,0,86.05,8.41,8.97,2.39,12.52,4.69
