stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.28,0,0,0,5.81,0,0,0,0,0,0,0,0,36.6,0,0,4.71,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1,0,0,7.66,0,0,0,0,0,0,0,0
 14-21,0,3.1,0,2.6,0,0,0,0,9.39,0,0,0,0,3.74,0,2.96,58.13,0,0,0.89,0,2.27,0,5.15,16.27,0,0,0
 24-34,0,0,0.63,5.62,0,0,0,0,69.06,0,0,0,0.95,7.22,0,0,193.83,4.08,0,0,0.76,0,0,0.7,48.42,0,0,0.84
 36-46,0,6.97,6.7,17.54,0,5.71,0,0,117.87,0,0,0,0,4.12,0,0,404.56,3.77,0,0,0,0,0.57,0,66.62,0,0,0
 48-58,0,6.08,0,58.29,0,4.87,0,0,114.26,0,0,0,0,0.61,0,0.43,395.06,1.77,0,0,1.57,0,0,0,51.84,0,0,0
 60-70,0,0,0,66.7,0,12.25,0,0,68.47,0,0,2.19,0,6.97,0,0,374.65,2.01,1.16,0,1.75,0,0,0,28.51,0,0,0
 72-82,0,5.45,10.1,49.14,0,3.38,0.59,0,48.3,2.8,4.15,0,0,5.05,4.32,0,322.23,0,0,0,0,0,0,0,42.67,0,0.52,0
 84-94,0,0,0,37.91,1.18,6.67,0,0,93.97,0,0,0,0,14.27,0,0.66,176.65,0.77,4.72,0,1.35,0,0,0,25.45,0,1.63,0
 96-106,0,2.91,2.46,36.39,0,4.46,0,0,58.17,1.03,0,8.31,0,8.96,0,2.41,124.97,3.5,0,0,4.02,0,0,0,9.89,0,0,0
108-118,0,4.5,0,20.89,1.14,2.05,0,0,53.72,0,2.32,0,0.59,10.88,0,0,149.73,0.88,0,0,0,0,0,0,12.46,0,0,4.48
120,0,0,0,46.73,0,0,0,0,44.29,0,0,0,0,10.49,0,1.64,184.11,4.59,0,0,0,0,0,0,0,1.63,0,2.64
