stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,25.86,330.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.58,0,0,0,0,0,0,0,0
  5-6,7.11,196.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,7.9,0,0,0,0,0,0,0,0,0
  7-9,9.26,19.97,0,0,0,18.43,0,0,0,0,17.3,0,0,0,0,0,0,0,0,0,0,219.89,3.71,0,0,23.53,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.04,0,0,23.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.68,0,0,0,23.65,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.32,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,1.24,0,0,13.3,0,0,1.01,2,0,2.59,0
 24-34,0,0,0,1.3,0,3.48,0,0,1.48,0,0,0,0.62,0,0,0,0,4.93,1.03,0,0,60.13,0.66,0.89,0.82,0,1.37,0,0,0,0,15.68,0,0.64,0
 36-46,0,0,0,0,0,10.32,2.04,0,1.4,0,0,0.57,0,0,0,0,0,3.09,0,0,0,65.92,0,0,0,0,5.3,0,0,0,0,9.47,0,1.33,0
 48-58,0,0,0,0.63,2.22,18.27,0,0,5.2,0,0,0,0,0,0,0,0,11.04,0,0,0.42,41.98,0.61,0.53,0.59,0,2.74,0,0,0.9,2.82,7.05,0,1.94,0
 60-70,0,0,0,0,0,73.93,0,0,14.8,0,0,0,0,0,0,0,0,25.55,0,0,0.95,66.82,0,0,0,0,5.57,0,0.76,0,0,11.46,0,0,0
 72-82,0,0,0,0,0,12.52,0,0,2.91,0.65,0,0,0,0,0,0,0,7.1,0,0.51,6.07,24.42,0,0,0.61,0,0,0,0,0,0,4.2,0,1.66,0
 84-94,0,0,0,1.22,0,16.82,0,1.74,4.48,0,0,0,0,0.6,0.58,0,0,13.02,0,0,2.75,20.39,0,0,0,0,4.73,0,0,0,0,0,0.64,0,0
 96-106,0,0,0,0,0,22.52,0,0,2.32,0,0,0,0.93,0,0,1.41,0,7.81,0,0,0.62,16.41,0,0.56,0,0,1.29,0,0,0,0,0,0,1.06,0
108-118,0,0,1.06,0,0,5.62,0,0,8.56,0,0,1.03,0,0,0,1.02,4.59,32.65,0,0,0,30.11,0,0,0,0,0,0,0,0,0,0,0,0.62,0.41
120,0,0,0,1.67,0,13.02,20.86,0,23.9,4.05,0,0,0,0,0,0,1.99,15.49,0,0,0,54.76,0,0,0,0,5.61,0,0,0,0,0,0,7.47,0
