stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,382.67,5399.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.26,0,0,0,0,0,0,0,0,0,0,0
  5-6,294.72,5069.36,0,10.49,0,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,264.21,63.09,0,0,34.43,0,81.35,0,0,0,0,0,0,0,0,0,0,0
  7-9,106.9,94,0,182.4,0,0,0,278.81,0,0,0,0,89.92,0,0,0,0,0,0,0,0,0,0,0,2852.6,113.46,0,0,1033.32,0,21.91,85.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,80.72,0,146.4,0,26.75,0,261.44,0,0,0,0,45.79,0,0,0,0,0,0,0,0,0,0,3.87,2191.77,137.89,0,0,671.16,0,17.66,40.03,0,80.87,0,4.93,4.51,0,0,0,0,0
 14-21,0,1.36,1.41,1.01,101.14,11.26,0,26.37,1.58,0,10.62,4.36,0,2.66,2.27,2.13,0,0,0,4.06,28.06,0,0,22.11,417.55,13.73,0,3.7,6.34,0,14.3,1.77,64,6.92,5.37,44.32,140.98,0,0,2.09,0,1.14
 24-34,0,0,0.81,0,19.25,8.24,0,45.45,2.17,1.44,25.31,2.22,0.66,0.67,2.49,6.59,0.7,0,2.05,16.04,42.02,1.73,0,15.05,568.85,2.93,10,1.47,0,1.61,23.88,0,0,8.39,0.74,7.79,132.03,0,0,28.01,0,9.13
 36-46,0,0,0,0,6.65,1.95,0,142.65,0,4.45,24.05,0,0,3.43,11.74,1.22,0,2.17,0.94,37.08,30.03,2.9,0,12.27,613.13,1.19,11.42,0,0,0,36.6,0,0,2.09,0,0,149.86,0,0,15.45,0,28.39
 48-58,0,0,0.65,0,7.44,1.09,0,230.39,5.56,2.13,56.07,0,0,1.66,5.48,0.51,0.46,0.88,0,19.33,39.98,1.18,0.79,5.09,418.79,1.15,4.08,1.25,0,0,23.75,0,0.92,0,0,0,122.19,0,0,5.85,0,6.48
 60-70,0,0,0.65,0,14.54,8.23,0,351.35,5.54,2.68,72.87,3.52,0,1.47,16.56,2.43,5.75,0,0,19.34,45.24,0,0.69,1.42,429.11,0,2.25,2.21,0,0,18.38,0,0,2.26,0,0,85.61,0,0.63,5.25,0,35.97
 72-82,0,0,0,0,9.38,33.41,0,227.6,0,3.43,54.45,8.32,0,0,12.98,1.78,3.71,0.82,4.45,10.16,50.17,1.28,0,6.13,297.92,0.77,5.42,2.86,0,0,3.93,0,0,0,0,0,29.3,0,0.56,18.92,0.51,21.29
 84-94,0,0,0,1.04,14.08,42.37,1.24,228.31,4.55,2.47,74.66,8.9,0.77,0.7,8.41,1.49,16.18,0,2.87,6.27,55.63,2.19,7.12,1.97,185.57,4.36,1.84,1.49,0,5.27,52.46,0,0,0.57,0,0,20.7,6.47,1.15,16.05,0,19.65
 96-106,0,0,0,0,15.42,42.14,0,156.45,2.94,2.61,65.15,10.73,0,2.54,8.33,1.93,3.58,3.77,0.62,3.42,40.33,0,1.42,2.2,198.54,0.62,0.59,3.6,0,0,35.17,0,0,0.73,0.6,0,22.02,1.79,2.76,13.82,5.61,7.46
108-118,0,0,1.55,1.23,24.43,36.1,0.46,204.63,2.13,2.88,64.08,10.52,0,0,16.14,1.35,8.15,5.36,0.61,6.45,30.05,1.09,0,5.02,226.34,0.48,1.62,9.46,0,0,27.73,0,0,0,0,0,12.68,0,3.08,10.6,0,18.1
120,0,0,0,0,34,21.07,0,81.36,1.45,0,37.03,25.13,0,2.95,5.92,9.03,1.37,3.19,1.54,23.16,41.79,5.03,18.38,7.03,319.79,0,4.4,5.12,0,0,9.84,0,0,2.27,0,0,17.23,5.22,2.09,7.91,0,10.98
