stage,epidermis,eye,mesenchyme,neural,presomitic.mesoderm
 14-21,0.92,0,0,1.1,0.8
 24-34,0,0,1.34,6.73,0
 36-46,0,0,0,0.98,0
 48-58,0,0.67,5.04,1.51,0
 60-70,0,0,0,4.07,0
 72-82,0,0,0,0.69,0
 84-94,0,0,0,3.32,0
108-118,0,0,0,1.82,0
